Executando em modo automático:
  Instância: 41
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: RC101.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 139909323294136
2026-05-23 09:10:36.415 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-23 09:10:36.440 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 2369,45, Tempo: 1970,44, Comb: 1200,08
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 5000] Best: Dist=2329,37, Time=1957,23, Fuel=1178,32 | Unique solutions: 2446
[Eval 10000] Best: Dist=2329,37, Time=1950,46, Fuel=1178,32 | Unique solutions: 4549
[Eval 15000] Best: Dist=2326,65, Time=1948,00, Fuel=1177,95 | Unique solutions: 6627
[Eval 20000] Best: Dist=2290,27, Time=1948,00, Fuel=1159,28 | Unique solutions: 9111
[Eval 25000] Best: Dist=2290,27, Time=1934,59, Fuel=1159,28 | Unique solutions: 11954
[Eval 30000] Best: Dist=2281,97, Time=1924,75, Fuel=1155,07 | Unique solutions: 15237
[Eval 35000] Best: Dist=2281,97, Time=1924,75, Fuel=1155,07 | Unique solutions: 18751
[Eval 40000] Best: Dist=2281,97, Time=1924,13, Fuel=1155,07 | Unique solutions: 22581
[Eval 45000] Best: Dist=2281,97, Time=1924,13, Fuel=1155,07 | Unique solutions: 26785
[Eval 50000] Best: Dist=2281,97, Time=1924,13, Fuel=1155,07 | Unique solutions: 31058
[Eval 55000] Best: Dist=2281,63, Time=1924,13, Fuel=1153,88 | Unique solutions: 31058
[Eval 60000] Best: Dist=2281,63, Time=1924,13, Fuel=1153,88 | Unique solutions: 31058
[Eval 65000] Best: Dist=2281,63, Time=1924,13, Fuel=1153,88 | Unique solutions: 31058
[Eval 70000] Best: Dist=2262,30, Time=1924,13, Fuel=1143,23 | Unique solutions: 31058
[Eval 75000] Best: Dist=2262,30, Time=1924,13, Fuel=1143,23 | Unique solutions: 31058
[Eval 80000] Best: Dist=2262,30, Time=1924,13, Fuel=1143,23 | Unique solutions: 31058
[Eval 85000] Best: Dist=2262,30, Time=1917,75, Fuel=1143,23 | Unique solutions: 31058
[Eval 90000] Best: Dist=2262,30, Time=1917,75, Fuel=1143,23 | Unique solutions: 31058
[Eval 95000] Best: Dist=2262,30, Time=1916,73, Fuel=1143,23 | Unique solutions: 31058
[Eval 100000] Best: Dist=2262,30, Time=1916,73, Fuel=1143,23 | Unique solutions: 31058
[Eval 105000] Best: Dist=2262,30, Time=1912,71, Fuel=1143,23 | Unique solutions: 31058
[Eval 110000] Best: Dist=2262,30, Time=1907,59, Fuel=1143,23 | Unique solutions: 31058
[Eval 115000] Best: Dist=2262,30, Time=1907,59, Fuel=1143,23 | Unique solutions: 31058
[Eval 120000] Best: Dist=2262,30, Time=1907,59, Fuel=1143,23 | Unique solutions: 31058
[Eval 125000] Best: Dist=2262,30, Time=1907,59, Fuel=1143,23 | Unique solutions: 31058
[Eval 130000] Best: Dist=2258,06, Time=1907,59, Fuel=1143,23 | Unique solutions: 31058
[Eval 135000] Best: Dist=2258,06, Time=1907,26, Fuel=1143,23 | Unique solutions: 31058
[Eval 140000] Best: Dist=2258,06, Time=1907,26, Fuel=1143,23 | Unique solutions: 31058
[Eval 145000] Best: Dist=2256,61, Time=1907,26, Fuel=1143,23 | Unique solutions: 31058
[Eval 150000] Best: Dist=2256,61, Time=1905,31, Fuel=1143,23 | Unique solutions: 31058
[Eval 155000] Best: Dist=2250,50, Time=1905,31, Fuel=1143,23 | Unique solutions: 31058
[Eval 160000] Best: Dist=2244,57, Time=1905,31, Fuel=1137,38 | Unique solutions: 31058
[Eval 165000] Best: Dist=2244,57, Time=1905,31, Fuel=1137,38 | Unique solutions: 31058
[Eval 170000] Best: Dist=2234,90, Time=1900,26, Fuel=1133,02 | Unique solutions: 31058
[Eval 175000] Best: Dist=2234,90, Time=1899,41, Fuel=1133,02 | Unique solutions: 31058
[Eval 180000] Best: Dist=2234,90, Time=1899,41, Fuel=1133,02 | Unique solutions: 31058
[Eval 185000] Best: Dist=2234,90, Time=1899,41, Fuel=1133,02 | Unique solutions: 31058
[Eval 190000] Best: Dist=2234,90, Time=1899,41, Fuel=1133,02 | Unique solutions: 31058
[Eval 195000] Best: Dist=2234,90, Time=1899,41, Fuel=1133,02 | Unique solutions: 31058
[Eval 200000] Best: Dist=2234,90, Time=1895,68, Fuel=1133,02 | Unique solutions: 31058
[Eval 205000] Best: Dist=2234,90, Time=1895,68, Fuel=1133,02 | Unique solutions: 31058
[Eval 210000] Best: Dist=2234,90, Time=1895,68, Fuel=1133,02 | Unique solutions: 31058
[Eval 215000] Best: Dist=2234,90, Time=1895,68, Fuel=1133,02 | Unique solutions: 31058
[Eval 220000] Best: Dist=2234,90, Time=1895,68, Fuel=1133,02 | Unique solutions: 31058
[Eval 225000] Best: Dist=2234,90, Time=1895,68, Fuel=1133,02 | Unique solutions: 31058
[Eval 230000] Best: Dist=2234,90, Time=1895,68, Fuel=1133,02 | Unique solutions: 31058
[Eval 235000] Best: Dist=2234,90, Time=1895,68, Fuel=1133,02 | Unique solutions: 31058
[Eval 240000] Best: Dist=2234,90, Time=1895,68, Fuel=1133,02 | Unique solutions: 31058
[Eval 245000] Best: Dist=2234,90, Time=1895,62, Fuel=1133,02 | Unique solutions: 31058
[Eval 250000] Best: Dist=2234,90, Time=1895,62, Fuel=1133,02 | Unique solutions: 31058
[Eval 255000] Best: Dist=2215,45, Time=1895,62, Fuel=1121,78 | Unique solutions: 31058
[Eval 260000] Best: Dist=2215,45, Time=1895,62, Fuel=1121,78 | Unique solutions: 31058
[Eval 265000] Best: Dist=2215,45, Time=1894,29, Fuel=1121,78 | Unique solutions: 31058
[Eval 270000] Best: Dist=2215,45, Time=1894,29, Fuel=1121,78 | Unique solutions: 31058
[Eval 275000] Best: Dist=2215,45, Time=1894,29, Fuel=1121,78 | Unique solutions: 31058
[Eval 280000] Best: Dist=2215,45, Time=1894,05, Fuel=1121,78 | Unique solutions: 31058
[Eval 285000] Best: Dist=2215,45, Time=1894,05, Fuel=1121,78 | Unique solutions: 31058
[Eval 290000] Best: Dist=2215,45, Time=1894,05, Fuel=1121,78 | Unique solutions: 31058
[Eval 295000] Best: Dist=2215,45, Time=1893,49, Fuel=1121,78 | Unique solutions: 31058
[Eval 300000] Best: Dist=2215,45, Time=1893,04, Fuel=1121,78 | Unique solutions: 31058
[Eval 305000] Best: Dist=2215,45, Time=1893,04, Fuel=1121,78 | Unique solutions: 31058
[Eval 310000] Best: Dist=2215,45, Time=1890,56, Fuel=1121,78 | Unique solutions: 31058
[Eval 315000] Best: Dist=2215,45, Time=1890,54, Fuel=1121,78 | Unique solutions: 31058
[Eval 320000] Best: Dist=2215,45, Time=1890,54, Fuel=1121,78 | Unique solutions: 31058
[Eval 325000] Best: Dist=2215,45, Time=1890,04, Fuel=1121,78 | Unique solutions: 31058
[Eval 330000] Best: Dist=2215,45, Time=1888,68, Fuel=1121,78 | Unique solutions: 31058
[Eval 335000] Best: Dist=2215,45, Time=1888,68, Fuel=1121,78 | Unique solutions: 31058
[Eval 340000] Best: Dist=2215,45, Time=1888,68, Fuel=1121,78 | Unique solutions: 31058
