Executando em modo automático:
  Instância: 2
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: C102.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 54715623293812
2026-05-22 09:16:23.592 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-22 09:16:23.620 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 1484,81, Tempo: 5636,33, Comb: 760,28
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 260000] Best: Dist=1292,99, Time=5495,93, Fuel=658,72 | Unique solutions: 29387
[Eval 265000] Best: Dist=1292,99, Time=5495,93, Fuel=658,72 | Unique solutions: 29387
[Eval 270000] Best: Dist=1292,99, Time=5495,93, Fuel=658,72 | Unique solutions: 29387
[Eval 275000] Best: Dist=1292,99, Time=5495,93, Fuel=658,72 | Unique solutions: 29387
[Eval 280000] Best: Dist=1292,99, Time=5495,93, Fuel=658,72 | Unique solutions: 29387
[Eval 285000] Best: Dist=1292,99, Time=5495,93, Fuel=658,72 | Unique solutions: 29387
[Eval 290000] Best: Dist=1292,43, Time=5495,93, Fuel=658,72 | Unique solutions: 29387
[Eval 295000] Best: Dist=1292,43, Time=5495,93, Fuel=658,72 | Unique solutions: 29387
[Eval 300000] Best: Dist=1292,43, Time=5495,93, Fuel=658,72 | Unique solutions: 29387
[Eval 305000] Best: Dist=1292,43, Time=5495,93, Fuel=658,72 | Unique solutions: 29387
[Eval 310000] Best: Dist=1292,43, Time=5495,93, Fuel=658,57 | Unique solutions: 29387
[Eval 315000] Best: Dist=1292,43, Time=5495,93, Fuel=658,57 | Unique solutions: 29387
[Eval 320000] Best: Dist=1292,43, Time=5495,93, Fuel=658,57 | Unique solutions: 29387
[Eval 325000] Best: Dist=1292,43, Time=5495,93, Fuel=658,57 | Unique solutions: 29387
[Eval 330000] Best: Dist=1292,43, Time=5495,93, Fuel=658,57 | Unique solutions: 29387
[Eval 335000] Best: Dist=1292,43, Time=5495,93, Fuel=658,57 | Unique solutions: 29387
[Eval 340000] Best: Dist=1292,43, Time=5495,93, Fuel=658,57 | Unique solutions: 29387
[Eval 345000] Best: Dist=1292,43, Time=5495,93, Fuel=658,57 | Unique solutions: 29387
[Eval 350000] Best: Dist=1292,43, Time=5495,93, Fuel=652,95 | Unique solutions: 29387
[Eval 355000] Best: Dist=1292,43, Time=5495,93, Fuel=652,95 | Unique solutions: 29387
[Eval 360000] Best: Dist=1292,43, Time=5495,93, Fuel=652,95 | Unique solutions: 29387
[Eval 365000] Best: Dist=1288,59, Time=5495,93, Fuel=652,95 | Unique solutions: 29387
[Eval 370000] Best: Dist=1288,59, Time=5495,93, Fuel=652,95 | Unique solutions: 29387
[Eval 375000] Best: Dist=1288,59, Time=5495,93, Fuel=652,95 | Unique solutions: 29387
[Eval 380000] Best: Dist=1288,59, Time=5495,93, Fuel=652,95 | Unique solutions: 29387
[Eval 385000] Best: Dist=1287,10, Time=5495,93, Fuel=652,72 | Unique solutions: 29387
[Eval 390000] Best: Dist=1287,10, Time=5495,93, Fuel=652,72 | Unique solutions: 29387
[Eval 395000] Best: Dist=1287,10, Time=5495,93, Fuel=652,72 | Unique solutions: 29387
[Eval 400000] Best: Dist=1279,52, Time=5495,93, Fuel=647,78 | Unique solutions: 29387
[Eval 405000] Best: Dist=1255,32, Time=5495,93, Fuel=634,88 | Unique solutions: 29387
[Eval 410000] Best: Dist=1255,32, Time=5495,93, Fuel=634,88 | Unique solutions: 29387
[Eval 415000] Best: Dist=1255,32, Time=5495,93, Fuel=634,88 | Unique solutions: 29387
[Eval 420000] Best: Dist=1255,32, Time=5495,93, Fuel=634,88 | Unique solutions: 29387
[Eval 425000] Best: Dist=1255,32, Time=5495,93, Fuel=634,88 | Unique solutions: 29387
[Eval 430000] Best: Dist=1250,97, Time=5495,93, Fuel=634,88 | Unique solutions: 29387
[Eval 435000] Best: Dist=1250,97, Time=5495,93, Fuel=634,88 | Unique solutions: 29387
[Eval 440000] Best: Dist=1250,97, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
