Executando em modo automático:
  Instância: 6
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: C106.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 72957097628579
2026-05-22 15:11:57.769 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-22 15:11:57.795 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 1426,60, Tempo: 5336,67, Comb: 725,25
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 5000] Best: Dist=1398,79, Time=5328,33, Fuel=710,93 | Unique solutions: 2275
[Eval 10000] Best: Dist=1398,79, Time=5327,14, Fuel=710,93 | Unique solutions: 3942
[Eval 15000] Best: Dist=1387,49, Time=5323,16, Fuel=701,70 | Unique solutions: 6440
[Eval 20000] Best: Dist=1387,49, Time=5321,82, Fuel=701,70 | Unique solutions: 9707
[Eval 25000] Best: Dist=1382,93, Time=5320,12, Fuel=699,30 | Unique solutions: 12570
[Eval 30000] Best: Dist=1382,93, Time=5320,12, Fuel=699,30 | Unique solutions: 16173
[Eval 35000] Best: Dist=1378,50, Time=5303,17, Fuel=697,80 | Unique solutions: 19249
[Eval 40000] Best: Dist=1378,50, Time=5303,17, Fuel=697,80 | Unique solutions: 22763
[Eval 45000] Best: Dist=1357,06, Time=5300,65, Fuel=688,27 | Unique solutions: 26027
[Eval 50000] Best: Dist=1357,06, Time=5290,91, Fuel=687,37 | Unique solutions: 29350
[Eval 55000] Best: Dist=1357,06, Time=5290,91, Fuel=687,37 | Unique solutions: 29350
[Eval 60000] Best: Dist=1351,19, Time=5286,42, Fuel=683,47 | Unique solutions: 29350
[Eval 65000] Best: Dist=1351,19, Time=5286,42, Fuel=683,47 | Unique solutions: 29350
[Eval 70000] Best: Dist=1351,19, Time=5286,42, Fuel=683,47 | Unique solutions: 29350
[Eval 75000] Best: Dist=1348,81, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 80000] Best: Dist=1348,81, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 85000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 90000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 95000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 100000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 105000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 110000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 115000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 120000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 125000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 130000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 135000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 140000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 145000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 150000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 155000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 160000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 165000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 170000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 175000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 180000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 185000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 190000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 195000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 200000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 205000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 210000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 215000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 220000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 225000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 230000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 235000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 240000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 245000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 250000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 255000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 260000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 265000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 270000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 275000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 280000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 285000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 290000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 295000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 300000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 305000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 310000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 315000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 320000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 325000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 330000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 335000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 340000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 345000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 350000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 355000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 360000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 365000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 370000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 375000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 380000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 385000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 390000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 395000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 400000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 405000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 410000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 415000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 420000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 425000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 430000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 435000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 440000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 445000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 450000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 455000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 460000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 465000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 470000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 475000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 480000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 485000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 490000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 495000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 500000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 505000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 510000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 515000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 520000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 525000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 530000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 535000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 540000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 545000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 550000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 555000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 560000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 565000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 570000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 575000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 580000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 585000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 590000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 595000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 600000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 605000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 610000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 615000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 620000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 625000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 630000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 635000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 640000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 645000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 650000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 655000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 660000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 665000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 670000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 675000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 680000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 685000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 690000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 695000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 700000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
[Eval 705000] Best: Dist=1346,92, Time=5285,22, Fuel=682,05 | Unique solutions: 29350
