Subpopulacao\Geracao	gFinal
NSGA3_DistanciaMin	1524,50
NSGA3_TempoMin	1447,22
NSGA3_CombustivelMin	770,70
NSGA3_DistanciaMedia	1533,03
NSGA3_TempoMedio	1456,78
NSGA3_CombustivelMedio	775,29
NSGA3_FitnessPonderadoMin	3759,72
NSGA3_FitnessPonderadoMedio	3768,85
NSGA3_TamanhoFrente	6
TempoExecucao(ms)	492014
Parametros	Pop=600; Geracoes=3000; Pc=1,00; Pm=0,01

=== DIAGNOSTICO ===
Solucoes criadas: 596
Total avaliacoes: 1788596
Solucoes unicas: 30523

=== HISTORICO DE EVOLUCAO ===
Eval	BestDist	BestTime	BestFuel
5000	1720,34	1587,16	868,43
10000	1720,34	1577,51	868,43
15000	1701,32	1577,51	858,53
20000	1701,32	1577,10	858,53
25000	1701,32	1577,10	858,53
30000	1685,83	1576,38	852,97
35000	1685,83	1575,92	852,97
40000	1685,68	1570,16	852,97
45000	1685,68	1561,68	852,97
50000	1685,68	1561,68	852,97
55000	1682,60	1560,51	851,10
60000	1681,92	1560,51	850,27
65000	1681,92	1558,33	850,27
70000	1681,77	1558,29	848,40
75000	1677,58	1557,03	846,97
80000	1677,58	1557,03	846,97
85000	1677,58	1554,78	846,97
90000	1674,50	1534,35	843,07
95000	1674,50	1534,30	843,07
100000	1674,50	1534,30	843,07
105000	1674,50	1534,30	843,07
110000	1670,71	1526,58	842,40
115000	1670,71	1526,58	842,40
120000	1663,74	1526,58	839,77
125000	1655,92	1526,45	835,65
130000	1655,92	1509,83	835,65
135000	1655,92	1509,83	835,65
140000	1655,92	1509,83	832,72
145000	1648,47	1509,83	829,65
150000	1648,47	1508,65	829,65
155000	1645,39	1504,64	825,37
160000	1640,68	1504,64	821,77
165000	1640,68	1503,46	821,77
170000	1640,68	1499,18	821,77
175000	1633,27	1499,18	821,77
180000	1629,48	1499,18	821,40
185000	1629,48	1497,80	821,40
190000	1625,21	1497,80	815,85
195000	1625,21	1496,90	815,85
200000	1625,21	1492,90	815,85
205000	1625,21	1492,90	815,85
210000	1625,21	1492,90	815,85
215000	1625,21	1492,90	815,85
220000	1624,13	1490,76	815,85
225000	1624,13	1490,76	815,85
230000	1624,13	1488,97	815,85
235000	1624,02	1488,97	814,27
240000	1623,20	1487,06	814,27
245000	1619,66	1487,06	814,27
250000	1616,54	1487,02	811,35
255000	1616,37	1486,82	811,35
260000	1615,53	1486,82	811,35
265000	1615,36	1478,75	811,35
270000	1613,74	1478,75	811,12
275000	1613,74	1478,75	810,15
280000	1607,27	1476,61	810,15
285000	1607,27	1476,61	810,15
290000	1605,26	1473,31	810,15
295000	1605,26	1473,31	805,95
300000	1605,26	1472,13	805,95
305000	1594,82	1472,13	804,53
310000	1594,82	1472,10	804,53
315000	1594,82	1472,10	804,53
320000	1594,82	1472,10	804,53
325000	1594,82	1472,10	804,53
330000	1594,82	1470,65	804,53
335000	1592,81	1470,65	803,40
340000	1592,76	1470,65	802,95
345000	1592,76	1470,65	802,95
350000	1586,01	1470,65	801,45
355000	1586,01	1470,65	801,07
360000	1586,01	1470,65	801,07
365000	1574,57	1470,65	792,68
370000	1574,57	1466,14	792,68
375000	1574,57	1466,14	792,68
380000	1574,57	1466,14	792,68
385000	1574,57	1466,14	792,68
390000	1574,57	1465,85	792,68
395000	1574,57	1465,85	792,68
400000	1572,57	1465,85	792,68
405000	1572,57	1465,85	792,68
410000	1556,16	1465,85	782,70
415000	1556,16	1463,28	782,70
420000	1556,16	1463,28	782,70
425000	1556,16	1463,28	782,70
430000	1556,16	1463,28	782,70
435000	1554,16	1463,28	782,70
440000	1554,16	1462,99	782,70
445000	1554,16	1462,99	782,70
450000	1554,16	1462,99	782,70
455000	1554,16	1462,99	782,70
460000	1554,16	1462,99	782,70
465000	1554,16	1462,85	782,70
470000	1554,16	1462,85	782,70
475000	1554,16	1462,85	782,70
480000	1554,16	1462,85	782,70
485000	1554,16	1462,85	782,70
490000	1554,16	1462,85	782,70
495000	1554,16	1462,85	782,70
500000	1554,16	1462,85	782,70
505000	1554,16	1462,85	782,70
510000	1551,92	1462,85	780,97
515000	1551,92	1462,85	780,97
520000	1551,92	1462,85	780,97
525000	1551,92	1462,85	780,97
530000	1551,92	1462,85	780,97
535000	1551,92	1462,85	780,97
540000	1551,92	1462,85	780,97
545000	1551,92	1462,85	780,97
550000	1551,92	1462,85	780,97
555000	1551,92	1462,85	780,97
560000	1551,92	1462,85	780,97
565000	1551,92	1462,85	780,97
570000	1551,44	1462,85	780,97
575000	1551,44	1462,85	780,97
580000	1551,44	1462,85	780,97
585000	1551,44	1462,85	780,97
590000	1551,44	1462,57	780,97
595000	1551,44	1462,57	780,97
600000	1551,44	1462,57	780,97
605000	1551,44	1462,57	780,97
610000	1551,44	1462,57	780,97
615000	1551,44	1462,57	780,97
620000	1551,44	1462,57	780,97
625000	1551,44	1462,57	780,97
630000	1551,44	1462,57	780,97
635000	1551,44	1462,57	780,97
640000	1551,44	1462,57	780,97
645000	1551,44	1462,57	780,97
650000	1551,44	1462,57	780,97
655000	1551,44	1462,57	780,97
660000	1551,44	1462,57	780,97
665000	1551,44	1462,57	780,97
670000	1551,44	1462,57	780,97
675000	1551,44	1461,74	780,97
680000	1551,44	1461,74	780,97
685000	1551,44	1461,08	780,97
690000	1551,44	1461,08	780,97
695000	1551,44	1461,08	780,97
700000	1551,44	1461,08	780,97
705000	1551,44	1461,08	780,97
710000	1551,44	1461,08	780,97
715000	1551,44	1461,08	780,97
720000	1551,44	1461,08	780,97
725000	1551,44	1460,09	780,97
730000	1551,44	1460,09	780,97
735000	1551,44	1460,09	780,97
740000	1551,44	1460,09	780,97
745000	1551,44	1460,09	780,97
750000	1551,44	1460,09	780,97
755000	1551,44	1460,09	780,97
760000	1551,44	1460,09	780,97
765000	1551,44	1460,09	780,97
770000	1551,44	1460,09	780,97
775000	1551,44	1460,09	780,97
780000	1551,44	1460,09	780,97
785000	1551,44	1460,09	780,97
790000	1551,44	1460,09	780,97
795000	1551,44	1460,09	780,97
800000	1551,44	1460,09	780,97
805000	1551,44	1460,09	780,97
810000	1551,44	1460,09	780,97
815000	1551,44	1460,09	780,97
820000	1551,44	1460,09	780,97
825000	1551,44	1460,09	780,97
830000	1551,44	1460,09	780,97
835000	1551,44	1460,09	780,97
840000	1551,44	1460,09	780,97
845000	1551,44	1460,09	780,97
850000	1551,44	1460,09	780,97
855000	1551,44	1460,09	780,97
860000	1551,44	1460,09	780,97
865000	1551,44	1460,09	780,97
870000	1551,44	1460,09	780,97
875000	1551,44	1460,09	780,97
880000	1551,44	1460,09	780,97
885000	1551,44	1460,09	780,97
890000	1551,44	1460,09	780,97
895000	1551,44	1460,09	780,97
900000	1551,44	1460,09	780,97
905000	1551,44	1460,09	780,97
910000	1551,44	1460,09	780,97
915000	1551,44	1460,09	780,97
920000	1551,44	1460,09	780,97
925000	1551,44	1460,09	780,97
930000	1551,44	1460,09	780,97
935000	1551,44	1460,09	780,97
940000	1551,44	1460,09	780,97
945000	1551,44	1460,09	780,97
950000	1551,44	1460,09	780,97
955000	1551,44	1460,09	780,97
960000	1551,44	1460,09	780,97
965000	1551,44	1460,09	780,97
970000	1551,44	1460,09	780,97
975000	1551,44	1460,09	780,97
980000	1551,44	1460,09	780,97
985000	1551,44	1460,09	780,97
990000	1551,44	1460,09	780,97
995000	1551,44	1460,09	780,97
1000000	1551,44	1460,09	780,97
1005000	1551,44	1460,09	780,97
1010000	1551,44	1460,09	780,97
1015000	1551,44	1460,09	780,97
1020000	1551,44	1460,09	780,97
1025000	1551,44	1460,09	780,97
1030000	1551,44	1460,09	780,97
1035000	1551,44	1460,09	780,97
1040000	1551,44	1460,09	780,97
1045000	1551,44	1460,09	780,97
1050000	1551,44	1460,09	780,97
1055000	1551,44	1460,09	780,97
1060000	1551,44	1460,09	780,97
1065000	1551,44	1460,09	780,97
1070000	1551,44	1460,09	780,97
1075000	1551,44	1460,09	780,97
1080000	1551,44	1460,09	780,97
1085000	1551,44	1460,09	780,97
1090000	1551,44	1460,09	780,97
1095000	1551,44	1460,09	780,97
1100000	1551,44	1460,09	780,97
1105000	1551,44	1460,09	780,97
1110000	1551,44	1460,09	780,97
1115000	1551,44	1460,09	780,97
1120000	1551,44	1460,09	780,97
1125000	1551,44	1460,09	780,97
1130000	1551,44	1460,09	780,97
1135000	1551,44	1460,09	780,97
1140000	1551,44	1460,09	780,97
1145000	1551,44	1460,09	780,97
1150000	1551,44	1460,09	780,97
1155000	1551,44	1460,09	780,97
1160000	1551,44	1460,09	780,97
1165000	1551,44	1460,09	780,97
1170000	1551,44	1460,09	780,97
1175000	1551,44	1460,09	780,97
1180000	1551,44	1460,09	780,97
1185000	1551,44	1460,09	780,97
1190000	1551,44	1460,09	780,97
1195000	1551,44	1460,09	780,97
1200000	1551,44	1460,09	780,97
1205000	1551,44	1460,09	780,97
1210000	1551,44	1460,09	780,97
1215000	1551,44	1460,09	780,97
1220000	1551,44	1460,09	780,97
1225000	1551,44	1460,09	780,97
1230000	1551,44	1460,09	780,97
1235000	1551,44	1460,09	780,97
1240000	1551,44	1460,09	780,97
1245000	1551,44	1460,09	780,97
1250000	1551,44	1460,09	780,97
1255000	1551,44	1460,09	780,97
1260000	1551,44	1460,09	780,97
1265000	1551,44	1460,09	780,97
1270000	1551,44	1460,09	780,97
1275000	1551,44	1460,09	780,97
1280000	1551,44	1460,09	780,97
1285000	1551,44	1460,09	780,97
1290000	1551,44	1460,09	780,97
1295000	1551,44	1460,09	780,97
1300000	1551,44	1460,09	780,97
1305000	1551,44	1460,09	780,97
1310000	1551,44	1460,09	780,97
1315000	1551,44	1460,09	780,97
1320000	1551,44	1460,09	780,97
1325000	1551,44	1460,09	780,97
1330000	1551,44	1460,09	780,97
1335000	1551,44	1460,09	780,97
1340000	1551,44	1460,09	780,97
1345000	1551,44	1460,09	780,97
1350000	1551,44	1460,09	780,97
1355000	1551,44	1460,09	780,97
1360000	1551,44	1460,09	780,97
1365000	1551,44	1460,09	780,97
1370000	1551,44	1460,09	780,97
1375000	1551,44	1460,09	780,97
1380000	1551,44	1460,09	780,97
1385000	1551,44	1460,09	780,97
1390000	1551,44	1460,09	780,97
1395000	1551,44	1460,09	780,97
1400000	1551,44	1460,09	780,97
1405000	1551,44	1460,09	780,97
1410000	1551,44	1460,09	780,97
1415000	1551,44	1460,09	780,97
1420000	1551,44	1460,09	780,97
1425000	1551,44	1460,09	780,97
1430000	1551,44	1460,09	780,97
1435000	1551,44	1460,09	780,97
1440000	1551,44	1460,09	780,97
1445000	1551,44	1460,09	780,97
1450000	1551,44	1460,09	780,97
1455000	1551,44	1460,09	780,97
1460000	1551,44	1460,09	780,97
1465000	1551,44	1460,09	780,97
1470000	1551,44	1460,09	780,97
1475000	1551,44	1460,09	780,97
1480000	1551,44	1460,09	780,97
1485000	1551,44	1460,09	780,97
1490000	1551,44	1460,09	780,97
1495000	1551,44	1460,09	780,97
1500000	1551,44	1460,09	780,97
1505000	1551,44	1460,09	780,97
1510000	1551,44	1460,09	780,97
1515000	1551,44	1460,09	780,97
1520000	1551,44	1460,09	780,97
1525000	1551,44	1460,09	780,97
1530000	1551,44	1460,09	780,97
1535000	1551,44	1460,09	780,97
1540000	1551,44	1460,09	780,97
1545000	1551,44	1460,09	780,97
1550000	1551,44	1460,09	780,97
1555000	1551,44	1460,09	780,97
1560000	1551,44	1460,09	780,97
1565000	1551,44	1460,09	780,97
1570000	1551,44	1460,09	780,97
1575000	1551,44	1460,09	780,97
1580000	1551,44	1460,09	780,97
1585000	1551,44	1460,09	780,97
1590000	1551,44	1460,09	780,97
1595000	1551,44	1460,09	780,97
1600000	1551,44	1460,09	780,97
1605000	1551,44	1460,09	780,97
1610000	1551,44	1460,09	780,97
1615000	1551,44	1460,09	780,97
1620000	1551,44	1460,09	780,97
