Subpopulacao\Geracao	gFinal
NSGA3_DistanciaMin	1613,78
NSGA3_TempoMin	1381,95
NSGA3_CombustivelMin	815,10
NSGA3_DistanciaMedia	1628,52
NSGA3_TempoMedio	1392,41
NSGA3_CombustivelMedio	821,22
NSGA3_FitnessPonderadoMin	3831,14
NSGA3_FitnessPonderadoMedio	3845,66
NSGA3_TamanhoFrente	23
TempoExecucao(ms)	479886
Parametros	Pop=600; Geracoes=3000; Pc=1,00; Pm=0,01

=== DIAGNOSTICO ===
Solucoes criadas: 596
Total avaliacoes: 1788596
Solucoes unicas: 29886

=== HISTORICO DE EVOLUCAO ===
Eval	BestDist	BestTime	BestFuel
5000	1952,49	1561,33	994,20
10000	1921,96	1547,18	980,93
15000	1911,59	1542,00	973,80
20000	1911,59	1542,00	973,80
25000	1901,10	1535,48	967,28
30000	1891,58	1535,27	965,10
35000	1891,58	1529,15	965,10
40000	1855,17	1522,49	945,15
45000	1844,69	1519,79	938,63
50000	1844,69	1519,79	938,63
55000	1844,69	1511,11	938,63
60000	1833,52	1511,11	931,13
65000	1823,03	1508,10	929,40
70000	1822,35	1501,32	925,72
75000	1820,02	1501,32	925,13
80000	1812,43	1499,02	918,22
85000	1812,43	1497,61	918,22
90000	1812,43	1494,61	918,22
95000	1806,13	1494,61	917,78
100000	1805,94	1491,59	914,78
105000	1804,57	1491,31	913,43
110000	1799,30	1491,23	913,43
115000	1799,30	1481,48	913,43
120000	1797,12	1481,48	909,38
125000	1793,29	1481,48	909,38
130000	1793,29	1476,48	907,05
135000	1786,81	1476,48	906,30
140000	1786,81	1473,73	906,30
145000	1768,54	1471,83	897,07
150000	1768,54	1471,83	897,07
155000	1765,83	1470,16	897,07
160000	1765,83	1470,16	892,87
165000	1760,84	1469,17	892,87
170000	1758,55	1467,21	891,68
175000	1758,55	1462,58	891,52
180000	1756,41	1461,86	890,47
185000	1756,41	1461,50	887,47
190000	1750,86	1455,18	887,47
195000	1750,86	1455,18	884,40
200000	1746,42	1455,18	884,40
205000	1746,42	1450,90	884,40
210000	1746,42	1450,90	884,40
215000	1746,42	1450,90	884,40
220000	1745,05	1448,43	882,00
225000	1745,05	1448,43	882,00
230000	1744,55	1448,43	880,80
235000	1744,55	1448,43	880,80
240000	1744,55	1448,43	880,80
245000	1744,55	1445,34	880,80
250000	1743,26	1443,44	880,65
255000	1740,35	1443,44	880,65
260000	1740,35	1443,44	880,65
265000	1740,35	1440,49	880,65
270000	1738,56	1440,13	880,65
275000	1738,56	1440,13	880,65
280000	1738,10	1440,13	880,65
285000	1738,10	1440,13	876,45
290000	1736,80	1438,66	876,45
295000	1736,80	1438,66	876,45
300000	1736,65	1438,66	876,45
305000	1734,66	1436,53	876,45
310000	1734,40	1436,53	876,45
315000	1734,40	1436,53	876,45
320000	1734,40	1436,53	876,45
325000	1734,40	1436,53	876,45
330000	1733,69	1436,53	873,30
335000	1732,19	1436,17	873,30
340000	1728,17	1431,95	873,30
345000	1728,17	1431,95	873,30
350000	1727,71	1431,95	873,30
355000	1725,92	1431,95	873,30
360000	1725,92	1431,95	873,30
365000	1725,92	1431,95	873,30
370000	1724,45	1431,92	873,30
375000	1724,45	1429,90	873,30
380000	1724,45	1429,67	873,30
385000	1724,45	1428,19	872,78
390000	1724,45	1428,19	872,78
395000	1721,25	1428,19	871,95
400000	1721,25	1428,19	871,95
405000	1721,25	1428,19	871,95
410000	1721,25	1428,19	871,43
415000	1721,25	1428,19	870,30
420000	1721,25	1428,19	870,30
425000	1721,25	1428,19	870,30
430000	1717,42	1428,19	868,95
435000	1717,42	1425,20	868,95
440000	1717,42	1425,20	868,95
445000	1717,42	1425,20	868,95
450000	1717,42	1425,20	868,95
455000	1715,71	1425,20	867,75
460000	1715,71	1425,20	867,75
465000	1715,71	1424,45	867,75
470000	1715,71	1424,30	867,75
475000	1715,71	1424,30	867,75
480000	1715,71	1418,15	867,75
485000	1715,71	1418,15	867,75
490000	1715,71	1418,15	867,75
495000	1715,71	1418,15	867,75
500000	1715,71	1418,15	867,75
505000	1715,71	1418,15	867,75
510000	1715,71	1418,15	867,75
515000	1714,34	1418,15	866,62
520000	1714,34	1417,48	866,62
525000	1712,80	1414,74	865,88
530000	1707,60	1414,74	865,20
535000	1701,80	1414,74	857,78
