Subpopulacao\Geracao	gFinal
NSGA3_DistanciaMin	1658,43
NSGA3_TempoMin	1405,68
NSGA3_CombustivelMin	837,52
NSGA3_DistanciaMedia	1664,25
NSGA3_TempoMedio	1419,15
NSGA3_CombustivelMedio	839,58
NSGA3_FitnessPonderadoMin	3919,27
NSGA3_FitnessPonderadoMedio	3926,48
NSGA3_TamanhoFrente	9
TempoExecucao(ms)	518044
Parametros	Pop=600; Geracoes=3000; Pc=1,00; Pm=0,01

=== DIAGNOSTICO ===
Solucoes criadas: 596
Total avaliacoes: 1788596
Solucoes unicas: 31041

=== HISTORICO DE EVOLUCAO ===
Eval	BestDist	BestTime	BestFuel
5000	1952,49	1561,33	994,20
10000	1925,12	1540,46	981,15
15000	1918,82	1537,31	980,93
20000	1915,66	1537,31	978,82
25000	1911,59	1530,62	973,80
30000	1901,10	1530,62	967,28
35000	1901,10	1527,74	967,28
40000	1891,58	1527,74	965,10
45000	1881,09	1527,74	958,58
50000	1881,09	1525,62	958,58
55000	1881,09	1522,97	958,58
60000	1879,74	1515,17	954,45
65000	1844,69	1514,29	938,63
70000	1844,69	1514,29	938,63
75000	1844,69	1512,71	938,63
80000	1837,36	1506,47	933,75
85000	1834,76	1506,47	931,13
90000	1823,03	1504,66	929,40
95000	1822,35	1494,14	925,72
100000	1813,10	1494,14	921,90
105000	1813,10	1492,16	921,68
110000	1805,29	1492,16	916,58
115000	1805,29	1484,17	916,58
120000	1805,29	1484,17	912,90
125000	1804,62	1484,17	912,90
130000	1795,31	1484,17	909,22
135000	1794,50	1482,32	909,22
140000	1794,50	1478,84	906,07
145000	1792,73	1476,68	906,07
150000	1792,13	1476,68	904,20
155000	1790,74	1472,77	901,35
160000	1788,45	1468,12	901,35
165000	1782,94	1466,07	901,35
170000	1764,11	1462,92	897,07
175000	1764,11	1462,92	897,07
180000	1764,11	1462,92	897,07
185000	1759,35	1462,92	894,00
190000	1759,35	1462,92	894,00
195000	1759,35	1456,80	894,00
200000	1759,35	1448,61	889,80
205000	1759,35	1448,61	889,80
210000	1759,35	1448,61	886,80
215000	1758,15	1448,61	886,80
220000	1758,15	1448,61	886,80
225000	1750,03	1448,61	885,15
230000	1750,03	1448,32	884,40
235000	1747,81	1448,32	881,40
240000	1747,81	1441,37	881,40
245000	1745,05	1441,37	881,40
250000	1744,79	1441,37	881,40
255000	1744,79	1441,37	881,40
260000	1742,14	1441,37	881,40
265000	1742,14	1441,37	881,40
270000	1742,14	1441,37	881,40
275000	1742,14	1441,37	881,40
280000	1742,14	1441,37	881,40
285000	1742,14	1441,37	881,40
290000	1742,14	1441,37	881,40
295000	1740,24	1441,37	881,40
300000	1740,24	1440,35	880,65
305000	1739,89	1440,35	880,65
310000	1737,44	1440,31	880,65
315000	1735,58	1440,31	880,65
320000	1735,58	1436,43	880,65
325000	1735,58	1436,43	879,60
330000	1735,58	1436,43	878,25
335000	1735,58	1436,43	878,25
340000	1735,20	1436,43	878,25
345000	1735,20	1436,43	878,25
350000	1734,24	1435,46	878,25
355000	1733,45	1429,68	878,25
360000	1732,94	1429,68	878,25
365000	1732,94	1429,68	878,25
370000	1732,61	1429,68	878,25
375000	1732,15	1429,68	877,80
380000	1731,16	1429,68	877,80
385000	1729,24	1429,68	876,52
390000	1729,24	1429,68	876,52
395000	1729,24	1429,68	876,52
400000	1729,24	1429,68	876,52
405000	1729,24	1429,68	876,52
410000	1729,24	1429,68	876,52
415000	1729,24	1429,68	876,52
420000	1729,24	1429,68	876,52
425000	1729,24	1429,68	876,52
430000	1729,24	1429,68	876,52
435000	1729,24	1429,68	876,52
440000	1729,24	1429,68	876,52
445000	1729,24	1429,68	876,52
450000	1729,24	1429,68	876,52
455000	1729,24	1429,68	876,52
460000	1727,46	1429,68	875,18
465000	1727,46	1429,68	875,18
470000	1727,46	1429,68	875,18
475000	1727,46	1429,68	875,18
480000	1727,46	1429,68	875,18
485000	1727,46	1429,68	875,18
490000	1727,46	1429,68	875,18
495000	1727,46	1429,68	875,18
500000	1726,73	1429,68	875,18
505000	1726,73	1429,68	875,18
510000	1725,74	1429,68	875,18
515000	1713,51	1429,68	867,82
520000	1713,51	1429,68	867,82
525000	1713,51	1429,68	867,82
530000	1713,51	1429,68	867,82
535000	1713,51	1429,68	867,82
540000	1713,51	1429,68	867,82
545000	1713,51	1429,68	867,82
550000	1701,08	1429,68	864,00
555000	1700,66	1427,54	862,88
560000	1688,21	1427,54	857,93
565000	1688,21	1427,54	857,93
570000	1677,91	1425,65	849,37
575000	1676,93	1425,65	849,37
580000	1676,93	1425,65	849,37
585000	1673,70	1422,25	848,02
590000	1665,87	1420,43	848,02
595000	1665,87	1420,43	848,02
600000	1665,87	1420,43	848,02
605000	1665,87	1420,43	847,50
610000	1665,86	1420,43	846,15
615000	1663,71	1420,36	845,02
620000	1663,71	1420,36	845,02
625000	1663,71	1418,94	845,02
630000	1663,71	1418,87	844,43
635000	1663,71	1413,70	844,43
640000	1663,71	1413,70	843,15
645000	1662,97	1413,70	842,55
650000	1661,51	1413,70	842,55
655000	1661,51	1412,22	842,55
660000	1661,51	1411,75	842,55
665000	1661,51	1411,75	842,55
670000	1661,51	1411,75	842,55
675000	1661,51	1411,75	842,55
680000	1661,51	1411,75	842,55
685000	1659,63	1411,75	839,55
690000	1659,63	1411,75	839,55
695000	1659,63	1411,75	839,55
700000	1659,63	1411,75	839,55
705000	1659,63	1411,75	839,55
710000	1659,63	1411,75	839,55
715000	1659,63	1411,75	839,55
720000	1659,63	1411,75	839,55
725000	1658,43	1411,75	838,87
730000	1658,43	1411,75	838,87
735000	1658,43	1411,75	838,87
740000	1658,43	1411,75	838,87
745000	1658,43	1411,75	838,87
750000	1658,43	1411,75	838,87
755000	1658,43	1411,75	838,87
760000	1658,43	1411,75	838,87
765000	1658,43	1411,75	838,87
770000	1658,43	1411,75	838,87
775000	1658,43	1411,75	838,87
780000	1658,43	1411,75	838,87
785000	1658,43	1411,75	838,87
790000	1658,43	1411,75	838,87
795000	1658,43	1411,75	838,87
800000	1658,43	1411,75	838,87
805000	1658,43	1411,75	837,52
810000	1658,43	1411,75	837,52
815000	1658,43	1411,75	837,52
820000	1658,43	1411,75	837,52
825000	1658,43	1411,75	837,52
830000	1658,43	1411,75	837,52
835000	1658,43	1411,75	837,52
840000	1658,43	1411,75	837,52
845000	1658,43	1411,75	837,52
850000	1658,43	1411,75	837,52
855000	1658,43	1411,75	837,52
860000	1658,43	1411,75	837,52
865000	1658,43	1411,75	837,52
870000	1658,43	1411,75	837,52
875000	1658,43	1411,75	837,52
880000	1658,43	1411,75	837,52
885000	1658,43	1411,75	837,52
890000	1658,43	1411,75	837,52
895000	1658,43	1411,75	837,52
900000	1658,43	1411,75	837,52
905000	1658,43	1411,75	837,52
910000	1658,43	1411,75	837,52
915000	1658,43	1411,75	837,52
920000	1658,43	1411,75	837,52
925000	1658,43	1411,75	837,52
930000	1658,43	1411,75	837,52
935000	1658,43	1411,75	837,52
940000	1658,43	1411,75	837,52
945000	1658,43	1411,75	837,52
950000	1658,43	1411,75	837,52
955000	1658,43	1411,75	837,52
960000	1658,43	1411,75	837,52
965000	1658,43	1411,75	837,52
970000	1658,43	1411,75	837,52
975000	1658,43	1411,75	837,52
980000	1658,43	1411,75	837,52
985000	1658,43	1411,75	837,52
990000	1658,43	1411,75	837,52
995000	1658,43	1411,75	837,52
1000000	1658,43	1411,75	837,52
1005000	1658,43	1409,58	837,52
1010000	1658,43	1409,58	837,52
1015000	1658,43	1409,58	837,52
1020000	1658,43	1409,58	837,52
1025000	1658,43	1409,58	837,52
1030000	1658,43	1409,58	837,52
1035000	1658,43	1409,58	837,52
1040000	1658,43	1409,58	837,52
1045000	1658,43	1409,58	837,52
1050000	1658,43	1409,58	837,52
1055000	1658,43	1409,58	837,52
1060000	1658,43	1409,58	837,52
1065000	1658,43	1409,58	837,52
1070000	1658,43	1409,58	837,52
1075000	1658,43	1409,58	837,52
1080000	1658,43	1409,58	837,52
1085000	1658,43	1409,58	837,52
1090000	1658,43	1409,58	837,52
1095000	1658,43	1409,58	837,52
1100000	1658,43	1405,68	837,52
1105000	1658,43	1405,68	837,52
1110000	1658,43	1405,68	837,52
1115000	1658,43	1405,68	837,52
1120000	1658,43	1405,68	837,52
1125000	1658,43	1405,68	837,52
1130000	1658,43	1405,68	837,52
1135000	1658,43	1405,68	837,52
1140000	1658,43	1405,68	837,52
1145000	1658,43	1405,68	837,52
1150000	1658,43	1405,68	837,52
1155000	1658,43	1405,68	837,52
1160000	1658,43	1405,68	837,52
1165000	1658,43	1405,68	837,52
1170000	1658,43	1405,68	837,52
1175000	1658,43	1405,68	837,52
1180000	1658,43	1405,68	837,52
1185000	1658,43	1405,68	837,52
1190000	1658,43	1405,68	837,52
1195000	1658,43	1405,68	837,52
1200000	1658,43	1405,68	837,52
1205000	1658,43	1405,68	837,52
1210000	1658,43	1405,68	837,52
1215000	1658,43	1405,68	837,52
1220000	1658,43	1405,68	837,52
1225000	1658,43	1405,68	837,52
1230000	1658,43	1405,68	837,52
1235000	1658,43	1405,68	837,52
1240000	1658,43	1405,68	837,52
1245000	1658,43	1405,68	837,52
1250000	1658,43	1405,68	837,52
1255000	1658,43	1405,68	837,52
1260000	1658,43	1405,68	837,52
1265000	1658,43	1405,68	837,52
1270000	1658,43	1405,68	837,52
1275000	1658,43	1405,68	837,52
1280000	1658,43	1405,68	837,52
1285000	1658,43	1405,68	837,52
1290000	1658,43	1405,68	837,52
1295000	1658,43	1405,68	837,52
1300000	1658,43	1405,68	837,52
1305000	1658,43	1405,68	837,52
1310000	1658,43	1405,68	837,52
1315000	1658,43	1405,68	837,52
1320000	1658,43	1405,68	837,52
1325000	1658,43	1405,68	837,52
1330000	1658,43	1405,68	837,52
1335000	1658,43	1405,68	837,52
