Executando em modo automático:
  Instância: 47
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: RC107.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 165196105846300
2026-05-23 16:48:41.931 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-23 16:48:41.958 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 1962,98, Tempo: 1574,04, Comb: 1001,32
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 5000] Best: Dist=1921,96, Time=1547,18, Fuel=980,93 | Unique solutions: 2347
[Eval 10000] Best: Dist=1916,12, Time=1547,18, Fuel=978,82 | Unique solutions: 4183
[Eval 15000] Best: Dist=1911,59, Time=1534,47, Fuel=973,80 | Unique solutions: 6899
[Eval 20000] Best: Dist=1911,59, Time=1532,89, Fuel=973,80 | Unique solutions: 10694
[Eval 25000] Best: Dist=1905,63, Time=1532,56, Fuel=971,70 | Unique solutions: 13884
[Eval 30000] Best: Dist=1896,75, Time=1522,93, Fuel=966,22 | Unique solutions: 16952
[Eval 35000] Best: Dist=1884,52, Time=1522,35, Fuel=958,58 | Unique solutions: 20180
[Eval 40000] Best: Dist=1876,45, Time=1522,35, Fuel=953,32 | Unique solutions: 23323
[Eval 45000] Best: Dist=1876,45, Time=1516,21, Fuel=953,32 | Unique solutions: 26288
[Eval 50000] Best: Dist=1876,45, Time=1516,21, Fuel=953,32 | Unique solutions: 29989
[Eval 55000] Best: Dist=1868,10, Time=1515,62, Fuel=952,35 | Unique solutions: 29989
[Eval 60000] Best: Dist=1861,04, Time=1515,07, Fuel=945,82 | Unique solutions: 29989
[Eval 65000] Best: Dist=1861,04, Time=1511,77, Fuel=945,82 | Unique solutions: 29989
[Eval 70000] Best: Dist=1848,09, Time=1507,06, Fuel=942,07 | Unique solutions: 29989
[Eval 75000] Best: Dist=1848,09, Time=1507,06, Fuel=942,07 | Unique solutions: 29989
[Eval 80000] Best: Dist=1845,88, Time=1497,66, Fuel=937,72 | Unique solutions: 29989
[Eval 85000] Best: Dist=1811,69, Time=1497,66, Fuel=920,25 | Unique solutions: 29989
[Eval 90000] Best: Dist=1811,69, Time=1495,37, Fuel=920,25 | Unique solutions: 29989
[Eval 95000] Best: Dist=1811,69, Time=1492,33, Fuel=920,25 | Unique solutions: 29989
[Eval 100000] Best: Dist=1805,52, Time=1484,41, Fuel=919,05 | Unique solutions: 29989
[Eval 105000] Best: Dist=1804,87, Time=1484,41, Fuel=915,90 | Unique solutions: 29989
[Eval 110000] Best: Dist=1790,04, Time=1478,24, Fuel=911,02 | Unique solutions: 29989
[Eval 115000] Best: Dist=1790,04, Time=1473,25, Fuel=911,02 | Unique solutions: 29989
[Eval 120000] Best: Dist=1789,36, Time=1473,25, Fuel=907,35 | Unique solutions: 29989
[Eval 125000] Best: Dist=1789,36, Time=1473,25, Fuel=907,35 | Unique solutions: 29989
[Eval 130000] Best: Dist=1789,23, Time=1471,52, Fuel=907,35 | Unique solutions: 29989
[Eval 135000] Best: Dist=1787,38, Time=1470,71, Fuel=906,75 | Unique solutions: 29989
[Eval 140000] Best: Dist=1783,84, Time=1467,13, Fuel=905,70 | Unique solutions: 29989
[Eval 145000] Best: Dist=1779,72, Time=1467,13, Fuel=901,35 | Unique solutions: 29989
[Eval 150000] Best: Dist=1779,72, Time=1457,16, Fuel=901,35 | Unique solutions: 29989
