Executando em modo automático:
  Instância: 47
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: RC107.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 166438471898232
2026-05-23 16:32:44.991 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-23 16:32:45.016 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 1962,98, Tempo: 1574,04, Comb: 1001,32
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 5000] Best: Dist=1921,96, Time=1547,18, Fuel=980,93 | Unique solutions: 2326
[Eval 10000] Best: Dist=1921,96, Time=1547,18, Fuel=980,93 | Unique solutions: 4170
[Eval 15000] Best: Dist=1920,19, Time=1547,05, Fuel=979,05 | Unique solutions: 6821
[Eval 20000] Best: Dist=1911,59, Time=1534,47, Fuel=973,80 | Unique solutions: 10477
[Eval 25000] Best: Dist=1895,60, Time=1533,88, Fuel=969,22 | Unique solutions: 13689
[Eval 30000] Best: Dist=1891,58, Time=1530,62, Fuel=965,10 | Unique solutions: 16892
[Eval 35000] Best: Dist=1891,58, Time=1522,93, Fuel=965,10 | Unique solutions: 20650
[Eval 40000] Best: Dist=1883,86, Time=1516,49, Fuel=961,88 | Unique solutions: 23909
[Eval 45000] Best: Dist=1881,16, Time=1516,49, Fuel=959,70 | Unique solutions: 27279
[Eval 50000] Best: Dist=1855,17, Time=1513,79, Fuel=945,15 | Unique solutions: 31177
[Eval 55000] Best: Dist=1855,17, Time=1513,66, Fuel=945,15 | Unique solutions: 31177
[Eval 60000] Best: Dist=1848,68, Time=1508,72, Fuel=942,07 | Unique solutions: 31177
[Eval 65000] Best: Dist=1833,52, Time=1506,02, Fuel=935,93 | Unique solutions: 31177
[Eval 70000] Best: Dist=1824,41, Time=1495,33, Fuel=927,90 | Unique solutions: 31177
[Eval 75000] Best: Dist=1818,65, Time=1488,24, Fuel=926,70 | Unique solutions: 31177
[Eval 80000] Best: Dist=1815,54, Time=1488,24, Fuel=924,97 | Unique solutions: 31177
[Eval 85000] Best: Dist=1798,99, Time=1484,30, Fuel=917,47 | Unique solutions: 31177
[Eval 90000] Best: Dist=1793,64, Time=1479,99, Fuel=911,85 | Unique solutions: 31177
[Eval 95000] Best: Dist=1793,64, Time=1479,99, Fuel=909,97 | Unique solutions: 31177
[Eval 100000] Best: Dist=1784,77, Time=1478,81, Fuel=907,05 | Unique solutions: 31177
[Eval 105000] Best: Dist=1784,77, Time=1477,46, Fuel=906,53 | Unique solutions: 31177
[Eval 110000] Best: Dist=1784,77, Time=1475,54, Fuel=906,53 | Unique solutions: 31177
[Eval 115000] Best: Dist=1783,15, Time=1475,54, Fuel=903,97 | Unique solutions: 31177
[Eval 120000] Best: Dist=1774,29, Time=1472,34, Fuel=899,25 | Unique solutions: 31177
[Eval 125000] Best: Dist=1774,29, Time=1472,34, Fuel=899,25 | Unique solutions: 31177
[Eval 130000] Best: Dist=1774,04, Time=1468,64, Fuel=898,50 | Unique solutions: 31177
[Eval 135000] Best: Dist=1768,97, Time=1468,64, Fuel=893,10 | Unique solutions: 31177
[Eval 140000] Best: Dist=1767,99, Time=1468,64, Fuel=893,10 | Unique solutions: 31177
[Eval 145000] Best: Dist=1767,99, Time=1468,46, Fuel=893,10 | Unique solutions: 31177
[Eval 150000] Best: Dist=1762,43, Time=1461,91, Fuel=892,20 | Unique solutions: 31177
[Eval 155000] Best: Dist=1762,43, Time=1461,91, Fuel=890,85 | Unique solutions: 31177
[Eval 160000] Best: Dist=1758,98, Time=1461,91, Fuel=887,70 | Unique solutions: 31177
[Eval 165000] Best: Dist=1758,98, Time=1461,91, Fuel=887,70 | Unique solutions: 31177
[Eval 170000] Best: Dist=1755,86, Time=1460,05, Fuel=885,45 | Unique solutions: 31177
[Eval 175000] Best: Dist=1755,86, Time=1460,05, Fuel=885,45 | Unique solutions: 31177
[Eval 180000] Best: Dist=1755,73, Time=1460,05, Fuel=885,45 | Unique solutions: 31177
[Eval 185000] Best: Dist=1755,73, Time=1460,05, Fuel=885,45 | Unique solutions: 31177
[Eval 190000] Best: Dist=1755,44, Time=1460,05, Fuel=885,45 | Unique solutions: 31177
[Eval 195000] Best: Dist=1752,87, Time=1459,11, Fuel=884,03 | Unique solutions: 31177
[Eval 200000] Best: Dist=1750,00, Time=1458,39, Fuel=884,03 | Unique solutions: 31177
[Eval 205000] Best: Dist=1750,00, Time=1458,39, Fuel=884,03 | Unique solutions: 31177
[Eval 210000] Best: Dist=1750,00, Time=1458,39, Fuel=884,03 | Unique solutions: 31177
[Eval 215000] Best: Dist=1743,73, Time=1458,39, Fuel=881,10 | Unique solutions: 31177
[Eval 220000] Best: Dist=1743,73, Time=1456,70, Fuel=881,10 | Unique solutions: 31177
[Eval 225000] Best: Dist=1743,73, Time=1449,06, Fuel=881,10 | Unique solutions: 31177
[Eval 230000] Best: Dist=1742,50, Time=1449,06, Fuel=881,10 | Unique solutions: 31177
[Eval 235000] Best: Dist=1742,13, Time=1449,06, Fuel=880,20 | Unique solutions: 31177
[Eval 240000] Best: Dist=1740,06, Time=1449,06, Fuel=877,72 | Unique solutions: 31177
[Eval 245000] Best: Dist=1740,06, Time=1449,06, Fuel=877,72 | Unique solutions: 31177
[Eval 250000] Best: Dist=1739,30, Time=1449,06, Fuel=877,72 | Unique solutions: 31177
[Eval 255000] Best: Dist=1739,30, Time=1447,57, Fuel=877,72 | Unique solutions: 31177
[Eval 260000] Best: Dist=1729,93, Time=1444,61, Fuel=874,73 | Unique solutions: 31177
[Eval 265000] Best: Dist=1729,93, Time=1444,61, Fuel=874,73 | Unique solutions: 31177
[Eval 270000] Best: Dist=1729,93, Time=1443,05, Fuel=874,73 | Unique solutions: 31177
[Eval 275000] Best: Dist=1729,93, Time=1442,85, Fuel=874,73 | Unique solutions: 31177
[Eval 280000] Best: Dist=1724,94, Time=1442,85, Fuel=871,58 | Unique solutions: 31177
[Eval 285000] Best: Dist=1724,94, Time=1442,85, Fuel=871,58 | Unique solutions: 31177
[Eval 290000] Best: Dist=1724,94, Time=1441,89, Fuel=871,58 | Unique solutions: 31177
[Eval 295000] Best: Dist=1713,23, Time=1441,89, Fuel=866,78 | Unique solutions: 31177
[Eval 300000] Best: Dist=1713,23, Time=1441,89, Fuel=866,78 | Unique solutions: 31177
[Eval 305000] Best: Dist=1713,23, Time=1438,37, Fuel=866,78 | Unique solutions: 31177
[Eval 310000] Best: Dist=1711,77, Time=1438,37, Fuel=866,10 | Unique solutions: 31177
[Eval 315000] Best: Dist=1711,77, Time=1438,37, Fuel=866,10 | Unique solutions: 31177
[Eval 320000] Best: Dist=1711,77, Time=1438,37, Fuel=866,10 | Unique solutions: 31177
[Eval 325000] Best: Dist=1708,11, Time=1437,56, Fuel=864,30 | Unique solutions: 31177
[Eval 330000] Best: Dist=1698,54, Time=1437,56, Fuel=857,48 | Unique solutions: 31177
[Eval 335000] Best: Dist=1698,54, Time=1437,56, Fuel=857,48 | Unique solutions: 31177
[Eval 340000] Best: Dist=1698,54, Time=1437,56, Fuel=857,48 | Unique solutions: 31177
[Eval 345000] Best: Dist=1698,54, Time=1437,56, Fuel=857,48 | Unique solutions: 31177
[Eval 350000] Best: Dist=1698,54, Time=1433,73, Fuel=857,48 | Unique solutions: 31177
[Eval 355000] Best: Dist=1698,54, Time=1433,73, Fuel=857,48 | Unique solutions: 31177
[Eval 360000] Best: Dist=1697,27, Time=1433,73, Fuel=856,80 | Unique solutions: 31177
[Eval 365000] Best: Dist=1690,77, Time=1432,59, Fuel=855,00 | Unique solutions: 31177
[Eval 370000] Best: Dist=1690,77, Time=1432,59, Fuel=855,00 | Unique solutions: 31177
[Eval 375000] Best: Dist=1690,77, Time=1432,16, Fuel=855,00 | Unique solutions: 31177
[Eval 380000] Best: Dist=1690,77, Time=1428,98, Fuel=855,00 | Unique solutions: 31177
[Eval 385000] Best: Dist=1674,96, Time=1428,98, Fuel=848,25 | Unique solutions: 31177
[Eval 390000] Best: Dist=1674,96, Time=1428,98, Fuel=848,25 | Unique solutions: 31177
[Eval 395000] Best: Dist=1674,96, Time=1428,98, Fuel=848,25 | Unique solutions: 31177
[Eval 400000] Best: Dist=1672,21, Time=1427,11, Fuel=848,25 | Unique solutions: 31177
[Eval 405000] Best: Dist=1670,98, Time=1427,11, Fuel=846,97 | Unique solutions: 31177
[Eval 410000] Best: Dist=1670,98, Time=1427,11, Fuel=846,97 | Unique solutions: 31177
[Eval 415000] Best: Dist=1667,19, Time=1426,90, Fuel=846,30 | Unique solutions: 31177
[Eval 420000] Best: Dist=1667,19, Time=1420,38, Fuel=845,78 | Unique solutions: 31177
[Eval 425000] Best: Dist=1658,55, Time=1420,38, Fuel=840,75 | Unique solutions: 31177
[Eval 430000] Best: Dist=1658,55, Time=1420,38, Fuel=840,75 | Unique solutions: 31177
[Eval 435000] Best: Dist=1658,55, Time=1420,38, Fuel=840,75 | Unique solutions: 31177
[Eval 440000] Best: Dist=1657,28, Time=1420,38, Fuel=840,75 | Unique solutions: 31177
[Eval 445000] Best: Dist=1657,28, Time=1420,38, Fuel=840,75 | Unique solutions: 31177
[Eval 450000] Best: Dist=1657,28, Time=1415,74, Fuel=840,23 | Unique solutions: 31177
[Eval 455000] Best: Dist=1657,25, Time=1415,74, Fuel=840,23 | Unique solutions: 31177
[Eval 460000] Best: Dist=1657,25, Time=1415,74, Fuel=837,75 | Unique solutions: 31177
[Eval 465000] Best: Dist=1657,25, Time=1415,74, Fuel=837,75 | Unique solutions: 31177
[Eval 470000] Best: Dist=1657,25, Time=1415,74, Fuel=837,75 | Unique solutions: 31177
[Eval 475000] Best: Dist=1657,25, Time=1413,53, Fuel=837,75 | Unique solutions: 31177
[Eval 480000] Best: Dist=1657,25, Time=1413,53, Fuel=837,75 | Unique solutions: 31177
[Eval 485000] Best: Dist=1653,55, Time=1413,53, Fuel=837,08 | Unique solutions: 31177
[Eval 490000] Best: Dist=1653,55, Time=1413,39, Fuel=837,08 | Unique solutions: 31177
[Eval 495000] Best: Dist=1653,55, Time=1413,39, Fuel=837,08 | Unique solutions: 31177
[Eval 500000] Best: Dist=1653,55, Time=1413,39, Fuel=836,40 | Unique solutions: 31177
[Eval 505000] Best: Dist=1653,55, Time=1413,39, Fuel=836,40 | Unique solutions: 31177
[Eval 510000] Best: Dist=1653,55, Time=1413,39, Fuel=836,40 | Unique solutions: 31177
[Eval 515000] Best: Dist=1645,52, Time=1413,39, Fuel=832,72 | Unique solutions: 31177
[Eval 520000] Best: Dist=1645,52, Time=1413,39, Fuel=832,72 | Unique solutions: 31177
[Eval 525000] Best: Dist=1645,52, Time=1413,39, Fuel=832,72 | Unique solutions: 31177
[Eval 530000] Best: Dist=1645,52, Time=1413,39, Fuel=832,72 | Unique solutions: 31177
[Eval 535000] Best: Dist=1641,12, Time=1413,39, Fuel=832,72 | Unique solutions: 31177
[Eval 540000] Best: Dist=1641,12, Time=1412,66, Fuel=832,72 | Unique solutions: 31177
[Eval 545000] Best: Dist=1641,12, Time=1411,75, Fuel=832,72 | Unique solutions: 31177
[Eval 550000] Best: Dist=1641,12, Time=1410,72, Fuel=832,72 | Unique solutions: 31177
[Eval 555000] Best: Dist=1641,12, Time=1402,79, Fuel=832,72 | Unique solutions: 31177
[Eval 560000] Best: Dist=1628,58, Time=1402,79, Fuel=824,03 | Unique solutions: 31177
[Eval 565000] Best: Dist=1628,58, Time=1402,79, Fuel=824,03 | Unique solutions: 31177
[Eval 570000] Best: Dist=1627,32, Time=1402,79, Fuel=822,08 | Unique solutions: 31177
[Eval 575000] Best: Dist=1627,32, Time=1402,79, Fuel=822,08 | Unique solutions: 31177
[Eval 580000] Best: Dist=1627,32, Time=1398,96, Fuel=822,08 | Unique solutions: 31177
[Eval 585000] Best: Dist=1627,32, Time=1398,96, Fuel=822,08 | Unique solutions: 31177
