Executando em modo automático:
  Instância: 42
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: RC102.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 142175506577886
2026-05-23 09:50:40.880 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-23 09:50:40.904 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 2090,69, Tempo: 1736,74, Comb: 1054,65
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 5000] Best: Dist=2056,80, Time=1727,86, Fuel=1035,60 | Unique solutions: 2449
[Eval 10000] Best: Dist=2056,80, Time=1725,98, Fuel=1035,60 | Unique solutions: 4326
[Eval 15000] Best: Dist=2031,56, Time=1724,53, Fuel=1022,47 | Unique solutions: 6070
[Eval 20000] Best: Dist=2031,56, Time=1720,62, Fuel=1022,47 | Unique solutions: 8335
[Eval 25000] Best: Dist=2013,82, Time=1720,09, Fuel=1014,90 | Unique solutions: 11190
[Eval 30000] Best: Dist=2013,82, Time=1719,36, Fuel=1014,90 | Unique solutions: 14915
[Eval 35000] Best: Dist=2013,43, Time=1719,36, Fuel=1012,35 | Unique solutions: 19005
[Eval 40000] Best: Dist=2004,59, Time=1716,34, Fuel=1008,68 | Unique solutions: 23080
[Eval 45000] Best: Dist=1985,29, Time=1712,27, Fuel=997,65 | Unique solutions: 26950
[Eval 50000] Best: Dist=1985,29, Time=1707,28, Fuel=997,65 | Unique solutions: 30456
[Eval 55000] Best: Dist=1985,29, Time=1707,28, Fuel=997,65 | Unique solutions: 30456
[Eval 60000] Best: Dist=1985,29, Time=1704,26, Fuel=997,65 | Unique solutions: 30456
[Eval 65000] Best: Dist=1955,87, Time=1701,07, Fuel=987,22 | Unique solutions: 30456
[Eval 70000] Best: Dist=1948,70, Time=1701,07, Fuel=984,15 | Unique solutions: 30456
[Eval 75000] Best: Dist=1948,70, Time=1697,91, Fuel=984,15 | Unique solutions: 30456
[Eval 80000] Best: Dist=1948,70, Time=1697,44, Fuel=984,15 | Unique solutions: 30456
[Eval 85000] Best: Dist=1920,23, Time=1697,44, Fuel=971,10 | Unique solutions: 30456
[Eval 90000] Best: Dist=1920,23, Time=1697,44, Fuel=971,10 | Unique solutions: 30456
[Eval 95000] Best: Dist=1912,71, Time=1696,24, Fuel=970,43 | Unique solutions: 30456
[Eval 100000] Best: Dist=1912,71, Time=1696,24, Fuel=970,43 | Unique solutions: 30456
[Eval 105000] Best: Dist=1912,71, Time=1694,87, Fuel=970,43 | Unique solutions: 30456
