Executando em modo automático:
  Instância: 42
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: RC102.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 140937333303899
2026-05-23 10:06:42.167 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-23 10:06:42.194 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 2090,69, Tempo: 1736,74, Comb: 1054,65
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 5000] Best: Dist=2031,56, Time=1728,89, Fuel=1024,20 | Unique solutions: 2484
[Eval 10000] Best: Dist=2027,85, Time=1727,61, Fuel=1021,12 | Unique solutions: 4517
[Eval 15000] Best: Dist=2027,85, Time=1725,60, Fuel=1021,12 | Unique solutions: 6620
[Eval 20000] Best: Dist=2027,85, Time=1725,38, Fuel=1021,12 | Unique solutions: 9200
[Eval 25000] Best: Dist=2013,82, Time=1722,17, Fuel=1014,90 | Unique solutions: 12586
[Eval 30000] Best: Dist=2012,39, Time=1715,92, Fuel=1014,22 | Unique solutions: 16464
[Eval 35000] Best: Dist=2012,39, Time=1715,92, Fuel=1014,22 | Unique solutions: 20686
[Eval 40000] Best: Dist=2012,39, Time=1715,92, Fuel=1014,22 | Unique solutions: 24875
[Eval 45000] Best: Dist=2012,39, Time=1713,93, Fuel=1014,22 | Unique solutions: 29122
[Eval 50000] Best: Dist=2007,79, Time=1713,93, Fuel=1012,58 | Unique solutions: 33425
[Eval 55000] Best: Dist=2005,28, Time=1706,92, Fuel=1012,58 | Unique solutions: 33425
[Eval 60000] Best: Dist=2000,60, Time=1706,92, Fuel=1008,30 | Unique solutions: 33425
[Eval 65000] Best: Dist=1984,73, Time=1704,83, Fuel=999,60 | Unique solutions: 33425
[Eval 70000] Best: Dist=1984,73, Time=1703,67, Fuel=999,60 | Unique solutions: 33425
[Eval 75000] Best: Dist=1984,73, Time=1703,17, Fuel=999,60 | Unique solutions: 33425
[Eval 80000] Best: Dist=1984,73, Time=1703,10, Fuel=999,60 | Unique solutions: 33425
[Eval 85000] Best: Dist=1984,73, Time=1701,01, Fuel=999,60 | Unique solutions: 33425
[Eval 90000] Best: Dist=1984,73, Time=1694,82, Fuel=999,30 | Unique solutions: 33425
[Eval 95000] Best: Dist=1978,10, Time=1694,82, Fuel=999,15 | Unique solutions: 33425
[Eval 100000] Best: Dist=1978,10, Time=1693,96, Fuel=999,15 | Unique solutions: 33425
[Eval 105000] Best: Dist=1976,50, Time=1693,96, Fuel=997,43 | Unique solutions: 33425
[Eval 110000] Best: Dist=1976,50, Time=1691,03, Fuel=996,90 | Unique solutions: 33425
[Eval 115000] Best: Dist=1976,50, Time=1691,03, Fuel=996,90 | Unique solutions: 33425
[Eval 120000] Best: Dist=1976,50, Time=1687,53, Fuel=996,90 | Unique solutions: 33425
[Eval 125000] Best: Dist=1974,59, Time=1687,53, Fuel=996,75 | Unique solutions: 33425
[Eval 130000] Best: Dist=1974,59, Time=1687,53, Fuel=995,25 | Unique solutions: 33425
[Eval 135000] Best: Dist=1974,59, Time=1687,36, Fuel=995,25 | Unique solutions: 33425
[Eval 140000] Best: Dist=1974,59, Time=1686,80, Fuel=995,25 | Unique solutions: 33425
[Eval 145000] Best: Dist=1946,90, Time=1686,80, Fuel=982,20 | Unique solutions: 33425
[Eval 150000] Best: Dist=1946,90, Time=1686,63, Fuel=982,20 | Unique solutions: 33425
[Eval 155000] Best: Dist=1946,90, Time=1681,34, Fuel=981,07 | Unique solutions: 33425
[Eval 160000] Best: Dist=1942,79, Time=1679,84, Fuel=980,93 | Unique solutions: 33425
[Eval 165000] Best: Dist=1942,79, Time=1679,84, Fuel=978,52 | Unique solutions: 33425
[Eval 170000] Best: Dist=1942,79, Time=1679,84, Fuel=978,52 | Unique solutions: 33425
[Eval 175000] Best: Dist=1940,55, Time=1678,76, Fuel=975,45 | Unique solutions: 33425
[Eval 180000] Best: Dist=1932,45, Time=1678,76, Fuel=972,82 | Unique solutions: 33425
[Eval 185000] Best: Dist=1932,45, Time=1678,76, Fuel=972,82 | Unique solutions: 33425
[Eval 190000] Best: Dist=1928,68, Time=1678,76, Fuel=972,82 | Unique solutions: 33425
[Eval 195000] Best: Dist=1928,68, Time=1678,30, Fuel=970,43 | Unique solutions: 33425
[Eval 200000] Best: Dist=1912,08, Time=1676,37, Fuel=962,40 | Unique solutions: 33425
[Eval 205000] Best: Dist=1905,20, Time=1676,37, Fuel=962,25 | Unique solutions: 33425
[Eval 210000] Best: Dist=1905,20, Time=1676,37, Fuel=962,25 | Unique solutions: 33425
[Eval 215000] Best: Dist=1905,20, Time=1676,37, Fuel=962,25 | Unique solutions: 33425
[Eval 220000] Best: Dist=1905,20, Time=1672,08, Fuel=958,95 | Unique solutions: 33425
[Eval 225000] Best: Dist=1905,20, Time=1665,44, Fuel=958,95 | Unique solutions: 33425
[Eval 230000] Best: Dist=1903,42, Time=1665,44, Fuel=958,95 | Unique solutions: 33425
[Eval 235000] Best: Dist=1903,42, Time=1665,44, Fuel=958,95 | Unique solutions: 33425
[Eval 240000] Best: Dist=1894,05, Time=1665,44, Fuel=953,18 | Unique solutions: 33425
[Eval 245000] Best: Dist=1894,05, Time=1663,24, Fuel=953,18 | Unique solutions: 33425
[Eval 250000] Best: Dist=1884,15, Time=1663,24, Fuel=947,10 | Unique solutions: 33425
[Eval 255000] Best: Dist=1884,15, Time=1663,24, Fuel=947,10 | Unique solutions: 33425
[Eval 260000] Best: Dist=1884,15, Time=1663,24, Fuel=947,10 | Unique solutions: 33425
[Eval 265000] Best: Dist=1884,15, Time=1663,24, Fuel=947,10 | Unique solutions: 33425
[Eval 270000] Best: Dist=1874,56, Time=1663,24, Fuel=945,68 | Unique solutions: 33425
[Eval 275000] Best: Dist=1874,56, Time=1663,24, Fuel=945,68 | Unique solutions: 33425
[Eval 280000] Best: Dist=1874,56, Time=1662,58, Fuel=945,68 | Unique solutions: 33425
[Eval 285000] Best: Dist=1874,56, Time=1662,58, Fuel=945,68 | Unique solutions: 33425
[Eval 290000] Best: Dist=1874,56, Time=1662,58, Fuel=945,68 | Unique solutions: 33425
[Eval 295000] Best: Dist=1874,44, Time=1662,58, Fuel=942,75 | Unique solutions: 33425
[Eval 300000] Best: Dist=1874,44, Time=1662,58, Fuel=942,75 | Unique solutions: 33425
[Eval 305000] Best: Dist=1859,53, Time=1662,58, Fuel=942,75 | Unique solutions: 33425
[Eval 310000] Best: Dist=1859,53, Time=1662,58, Fuel=942,60 | Unique solutions: 33425
[Eval 315000] Best: Dist=1859,53, Time=1662,58, Fuel=942,60 | Unique solutions: 33425
[Eval 320000] Best: Dist=1859,53, Time=1661,69, Fuel=942,60 | Unique solutions: 33425
[Eval 325000] Best: Dist=1857,75, Time=1657,77, Fuel=942,38 | Unique solutions: 33425
[Eval 330000] Best: Dist=1856,67, Time=1657,77, Fuel=942,38 | Unique solutions: 33425
[Eval 335000] Best: Dist=1856,67, Time=1657,77, Fuel=938,25 | Unique solutions: 33425
[Eval 340000] Best: Dist=1856,67, Time=1657,77, Fuel=938,25 | Unique solutions: 33425
[Eval 345000] Best: Dist=1856,67, Time=1657,77, Fuel=938,25 | Unique solutions: 33425
[Eval 350000] Best: Dist=1854,89, Time=1657,40, Fuel=938,25 | Unique solutions: 33425
[Eval 355000] Best: Dist=1851,63, Time=1657,40, Fuel=937,80 | Unique solutions: 33425
[Eval 360000] Best: Dist=1851,63, Time=1655,10, Fuel=937,80 | Unique solutions: 33425
[Eval 365000] Best: Dist=1851,63, Time=1655,10, Fuel=937,80 | Unique solutions: 33425
[Eval 370000] Best: Dist=1851,63, Time=1655,10, Fuel=937,80 | Unique solutions: 33425
[Eval 375000] Best: Dist=1851,63, Time=1655,10, Fuel=937,80 | Unique solutions: 33425
[Eval 380000] Best: Dist=1851,63, Time=1648,89, Fuel=937,80 | Unique solutions: 33425
[Eval 385000] Best: Dist=1851,63, Time=1648,89, Fuel=937,80 | Unique solutions: 33425
[Eval 390000] Best: Dist=1851,63, Time=1648,89, Fuel=937,80 | Unique solutions: 33425
[Eval 395000] Best: Dist=1848,77, Time=1648,89, Fuel=937,80 | Unique solutions: 33425
[Eval 400000] Best: Dist=1848,77, Time=1648,89, Fuel=937,80 | Unique solutions: 33425
[Eval 405000] Best: Dist=1844,56, Time=1647,16, Fuel=934,13 | Unique solutions: 33425
[Eval 410000] Best: Dist=1844,56, Time=1640,76, Fuel=934,13 | Unique solutions: 33425
[Eval 415000] Best: Dist=1844,56, Time=1640,76, Fuel=934,13 | Unique solutions: 33425
[Eval 420000] Best: Dist=1844,56, Time=1640,76, Fuel=934,13 | Unique solutions: 33425
[Eval 425000] Best: Dist=1844,56, Time=1640,76, Fuel=934,13 | Unique solutions: 33425
[Eval 430000] Best: Dist=1844,56, Time=1640,76, Fuel=934,13 | Unique solutions: 33425
[Eval 435000] Best: Dist=1842,51, Time=1640,76, Fuel=934,13 | Unique solutions: 33425
[Eval 440000] Best: Dist=1842,51, Time=1640,76, Fuel=934,13 | Unique solutions: 33425
[Eval 445000] Best: Dist=1842,51, Time=1640,76, Fuel=934,13 | Unique solutions: 33425
[Eval 450000] Best: Dist=1842,51, Time=1640,76, Fuel=934,13 | Unique solutions: 33425
[Eval 455000] Best: Dist=1842,51, Time=1640,76, Fuel=934,13 | Unique solutions: 33425
[Eval 460000] Best: Dist=1842,51, Time=1640,76, Fuel=931,13 | Unique solutions: 33425
[Eval 465000] Best: Dist=1840,73, Time=1640,76, Fuel=931,13 | Unique solutions: 33425
[Eval 470000] Best: Dist=1840,73, Time=1640,76, Fuel=931,13 | Unique solutions: 33425
[Eval 475000] Best: Dist=1840,73, Time=1640,76, Fuel=931,13 | Unique solutions: 33425
[Eval 480000] Best: Dist=1840,73, Time=1640,76, Fuel=931,13 | Unique solutions: 33425
[Eval 485000] Best: Dist=1840,73, Time=1640,76, Fuel=931,13 | Unique solutions: 33425
[Eval 490000] Best: Dist=1840,73, Time=1640,43, Fuel=931,13 | Unique solutions: 33425
[Eval 495000] Best: Dist=1840,73, Time=1640,43, Fuel=931,13 | Unique solutions: 33425
[Eval 500000] Best: Dist=1840,73, Time=1640,43, Fuel=931,13 | Unique solutions: 33425
[Eval 505000] Best: Dist=1840,73, Time=1640,43, Fuel=931,13 | Unique solutions: 33425
[Eval 510000] Best: Dist=1840,73, Time=1640,43, Fuel=931,13 | Unique solutions: 33425
[Eval 515000] Best: Dist=1840,73, Time=1640,43, Fuel=931,13 | Unique solutions: 33425
[Eval 520000] Best: Dist=1840,73, Time=1640,43, Fuel=931,13 | Unique solutions: 33425
[Eval 525000] Best: Dist=1840,73, Time=1640,43, Fuel=930,45 | Unique solutions: 33425
[Eval 530000] Best: Dist=1840,73, Time=1640,43, Fuel=930,45 | Unique solutions: 33425
[Eval 535000] Best: Dist=1840,73, Time=1640,43, Fuel=930,45 | Unique solutions: 33425
[Eval 540000] Best: Dist=1840,73, Time=1640,43, Fuel=930,45 | Unique solutions: 33425
[Eval 545000] Best: Dist=1840,73, Time=1640,43, Fuel=930,45 | Unique solutions: 33425
[Eval 550000] Best: Dist=1840,73, Time=1640,43, Fuel=930,45 | Unique solutions: 33425
[Eval 555000] Best: Dist=1840,73, Time=1640,43, Fuel=930,45 | Unique solutions: 33425
[Eval 560000] Best: Dist=1840,73, Time=1640,43, Fuel=930,45 | Unique solutions: 33425
[Eval 565000] Best: Dist=1840,14, Time=1640,43, Fuel=930,45 | Unique solutions: 33425
[Eval 570000] Best: Dist=1840,14, Time=1640,43, Fuel=930,45 | Unique solutions: 33425
[Eval 575000] Best: Dist=1840,14, Time=1640,43, Fuel=930,45 | Unique solutions: 33425
[Eval 580000] Best: Dist=1840,08, Time=1639,78, Fuel=930,45 | Unique solutions: 33425
[Eval 585000] Best: Dist=1840,08, Time=1639,78, Fuel=930,45 | Unique solutions: 33425
[Eval 590000] Best: Dist=1840,08, Time=1639,78, Fuel=930,45 | Unique solutions: 33425
[Eval 595000] Best: Dist=1840,08, Time=1639,78, Fuel=930,45 | Unique solutions: 33425
[Eval 600000] Best: Dist=1840,08, Time=1639,78, Fuel=930,45 | Unique solutions: 33425
[Eval 605000] Best: Dist=1840,08, Time=1639,78, Fuel=930,45 | Unique solutions: 33425
[Eval 610000] Best: Dist=1833,95, Time=1637,10, Fuel=930,45 | Unique solutions: 33425
[Eval 615000] Best: Dist=1833,95, Time=1637,10, Fuel=930,45 | Unique solutions: 33425
[Eval 620000] Best: Dist=1833,95, Time=1637,10, Fuel=930,45 | Unique solutions: 33425
[Eval 625000] Best: Dist=1833,42, Time=1637,10, Fuel=930,45 | Unique solutions: 33425
[Eval 630000] Best: Dist=1833,42, Time=1637,10, Fuel=930,45 | Unique solutions: 33425
[Eval 635000] Best: Dist=1833,42, Time=1637,10, Fuel=930,45 | Unique solutions: 33425
[Eval 640000] Best: Dist=1833,42, Time=1637,10, Fuel=927,15 | Unique solutions: 33425
[Eval 645000] Best: Dist=1832,17, Time=1637,10, Fuel=927,15 | Unique solutions: 33425
[Eval 650000] Best: Dist=1832,17, Time=1637,10, Fuel=927,15 | Unique solutions: 33425
[Eval 655000] Best: Dist=1831,64, Time=1636,96, Fuel=927,15 | Unique solutions: 33425
[Eval 660000] Best: Dist=1831,64, Time=1636,96, Fuel=927,15 | Unique solutions: 33425
[Eval 665000] Best: Dist=1831,64, Time=1636,96, Fuel=927,15 | Unique solutions: 33425
[Eval 670000] Best: Dist=1831,64, Time=1636,96, Fuel=927,15 | Unique solutions: 33425
[Eval 675000] Best: Dist=1831,64, Time=1635,97, Fuel=927,15 | Unique solutions: 33425
[Eval 680000] Best: Dist=1831,64, Time=1635,97, Fuel=927,15 | Unique solutions: 33425
[Eval 685000] Best: Dist=1831,64, Time=1635,97, Fuel=927,15 | Unique solutions: 33425
[Eval 690000] Best: Dist=1831,64, Time=1635,97, Fuel=927,15 | Unique solutions: 33425
[Eval 695000] Best: Dist=1831,64, Time=1635,97, Fuel=927,15 | Unique solutions: 33425
[Eval 700000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 705000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 710000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 715000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 720000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 725000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 730000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 735000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 740000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 745000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 750000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 755000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 760000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 765000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 770000] Best: Dist=1831,64, Time=1635,47, Fuel=927,15 | Unique solutions: 33425
[Eval 775000] Best: Dist=1831,64, Time=1635,47, Fuel=926,55 | Unique solutions: 33425
[Eval 780000] Best: Dist=1831,64, Time=1635,47, Fuel=926,55 | Unique solutions: 33425
[Eval 785000] Best: Dist=1831,64, Time=1635,47, Fuel=926,55 | Unique solutions: 33425
[Eval 790000] Best: Dist=1831,64, Time=1635,47, Fuel=926,55 | Unique solutions: 33425
[Eval 795000] Best: Dist=1831,64, Time=1635,47, Fuel=926,55 | Unique solutions: 33425
