Subpopulacao\Geracao	gFinal
NSGA3_DistanciaMin	1898,27
NSGA3_TempoMin	1857,52
NSGA3_CombustivelMin	955,65
NSGA3_DistanciaMedia	1923,84
NSGA3_TempoMedio	1874,40
NSGA3_CombustivelMedio	968,68
NSGA3_FitnessPonderadoMin	4726,46
NSGA3_FitnessPonderadoMedio	4770,36
NSGA3_TamanhoFrente	10
TempoExecucao(ms)	492411
Parametros	Pop=600; Geracoes=3000; Pc=1,00; Pm=0,01

=== DIAGNOSTICO ===
Solucoes criadas: 596
Total avaliacoes: 1788596
Solucoes unicas: 30343

=== HISTORICO DE EVOLUCAO ===
Eval	BestDist	BestTime	BestFuel
5000	2084,03	1957,70	1055,48
10000	2081,64	1952,32	1054,58
15000	2081,64	1949,06	1052,55
20000	2078,08	1949,02	1052,55
25000	2078,08	1948,26	1048,50
30000	2070,42	1948,26	1047,23
35000	2053,13	1947,06	1038,00
40000	2053,13	1946,57	1038,00
45000	2053,13	1946,57	1034,78
50000	2050,64	1945,80	1034,78
55000	2044,98	1940,93	1033,95
60000	2044,98	1940,93	1033,80
65000	2044,98	1934,62	1033,80
70000	2044,98	1934,62	1033,80
75000	2044,98	1934,62	1033,80
80000	2044,45	1934,62	1033,80
85000	2033,10	1928,93	1027,43
90000	2033,10	1928,93	1027,43
95000	2033,10	1928,93	1027,43
100000	2030,26	1924,64	1024,65
105000	2030,26	1924,48	1024,65
110000	2030,26	1919,14	1023,60
115000	2024,29	1919,14	1017,23
120000	2022,11	1918,98	1017,23
125000	2007,54	1918,98	1011,90
130000	2007,54	1918,98	1011,90
135000	2007,54	1910,61	1011,90
140000	2007,54	1910,61	1011,90
145000	2002,41	1910,61	1008,00
150000	1997,93	1910,61	1007,70
155000	1997,00	1910,61	1007,18
160000	1978,71	1910,61	994,88
165000	1978,71	1910,60	994,88
170000	1970,79	1910,60	991,50
175000	1970,79	1909,60	991,50
180000	1970,79	1909,60	991,50
185000	1970,79	1905,04	991,50
190000	1970,79	1903,19	991,50
195000	1970,79	1903,19	991,50
200000	1970,79	1903,19	991,50
205000	1970,79	1903,19	991,50
210000	1970,79	1903,19	991,50
215000	1970,28	1895,14	990,75
220000	1970,28	1895,14	990,75
225000	1960,15	1895,14	985,88
230000	1960,15	1895,14	985,88
235000	1960,15	1895,14	985,88
240000	1960,13	1895,14	985,88
245000	1960,13	1893,29	985,88
250000	1951,87	1893,29	982,28
255000	1951,87	1893,29	982,28
260000	1951,87	1891,34	982,28
265000	1951,87	1891,34	982,28
270000	1951,87	1891,34	982,28
275000	1951,87	1891,34	982,28
280000	1951,87	1891,34	982,28
285000	1951,87	1891,34	982,28
290000	1950,10	1891,34	982,28
295000	1950,10	1889,49	982,28
300000	1950,10	1886,74	982,28
305000	1950,10	1886,74	982,28
310000	1950,10	1886,74	982,28
315000	1950,10	1886,74	982,28
320000	1950,10	1886,74	982,28
325000	1948,27	1886,74	978,90
330000	1941,82	1886,74	978,90
335000	1939,58	1886,74	977,48
340000	1939,58	1886,74	977,48
345000	1939,58	1886,74	977,48
350000	1939,58	1886,74	977,48
355000	1939,58	1886,74	977,48
360000	1939,58	1886,74	977,48
