Subpopulacao\Geracao	gFinal
NSGA3_DistanciaMin	1126,43
NSGA3_TempoMin	5281,33
NSGA3_CombustivelMin	566,10
NSGA3_DistanciaMedia	1143,04
NSGA3_TempoMedio	5293,31
NSGA3_CombustivelMedio	575,08
NSGA3_FitnessPonderadoMin	6994,98
NSGA3_FitnessPonderadoMedio	7013,93
NSGA3_TamanhoFrente	44
TempoExecucao(ms)	507250
Parametros	Pop=600; Geracoes=3000; Pc=1,00; Pm=0,01

=== DIAGNOSTICO ===
Solucoes criadas: 596
Total avaliacoes: 1788596
Solucoes unicas: 24141

=== HISTORICO DE EVOLUCAO ===
Eval	BestDist	BestTime	BestFuel
5000	1360,09	5453,28	686,17
10000	1331,30	5398,94	672,00
15000	1325,98	5388,40	668,40
20000	1296,01	5370,12	653,25
25000	1270,19	5359,10	641,10
30000	1255,53	5354,63	630,60
35000	1249,81	5344,60	629,18
40000	1249,81	5341,13	629,10
45000	1247,51	5338,26	627,97
50000	1246,10	5333,04	627,30
55000	1245,73	5327,62	626,40
60000	1243,71	5327,62	626,03
65000	1243,71	5327,62	626,03
70000	1240,80	5323,22	624,82
75000	1240,80	5323,22	624,45
80000	1240,25	5323,22	623,32
85000	1240,25	5323,22	623,32
90000	1231,17	5323,22	618,00
95000	1229,49	5322,91	618,00
100000	1227,73	5321,89	618,00
105000	1224,16	5320,51	616,12
110000	1220,59	5320,43	616,12
115000	1212,53	5313,23	611,85
120000	1204,92	5305,48	607,43
125000	1204,92	5304,87	607,43
130000	1204,92	5304,87	606,00
135000	1204,92	5304,87	605,55
140000	1201,62	5304,67	604,12
145000	1201,62	5304,67	604,12
150000	1196,91	5304,67	601,12
155000	1196,91	5304,40	601,12
160000	1189,65	5304,40	596,85
165000	1184,87	5304,40	592,50
170000	1183,80	5304,40	592,50
175000	1183,80	5304,40	592,50
180000	1182,19	5304,40	592,50
185000	1182,19	5304,40	592,50
190000	1182,19	5304,40	592,50
195000	1182,19	5304,40	592,50
200000	1182,19	5304,40	592,50
205000	1182,19	5304,40	592,50
210000	1182,19	5304,15	592,50
215000	1182,19	5304,15	592,50
220000	1182,19	5304,15	592,50
225000	1182,19	5304,15	592,50
230000	1182,19	5304,15	592,50
235000	1182,19	5304,15	592,50
240000	1182,19	5303,44	592,50
245000	1182,19	5303,44	592,50
250000	1182,19	5303,44	592,50
255000	1182,19	5303,44	592,50
260000	1182,19	5303,44	592,50
265000	1182,19	5303,44	592,50
270000	1182,19	5303,44	592,50
275000	1182,19	5303,44	592,50
280000	1182,19	5302,37	592,50
285000	1182,19	5302,37	592,50
290000	1182,19	5302,37	592,50
295000	1182,19	5302,37	592,50
300000	1182,19	5302,37	592,50
305000	1182,19	5302,37	592,50
310000	1182,19	5302,37	592,50
315000	1182,19	5302,18	592,50
320000	1182,19	5302,18	592,50
325000	1182,19	5302,18	592,50
330000	1182,19	5302,18	592,50
335000	1182,19	5302,18	592,50
340000	1182,19	5302,18	592,50
345000	1182,19	5302,18	592,50
350000	1182,19	5302,18	592,50
355000	1182,19	5302,18	592,50
360000	1182,19	5302,18	592,50
365000	1182,19	5302,18	592,50
370000	1182,19	5302,18	592,50
375000	1182,19	5302,18	592,50
380000	1182,19	5302,18	592,50
385000	1182,19	5302,18	592,50
390000	1182,19	5302,18	592,50
395000	1182,19	5302,18	592,50
400000	1181,01	5302,18	592,50
405000	1181,01	5302,18	592,50
410000	1177,95	5302,18	592,50
415000	1177,95	5302,18	592,50
420000	1177,95	5302,18	592,50
425000	1176,89	5302,18	592,50
430000	1176,89	5302,18	592,50
435000	1176,89	5302,18	592,50
440000	1172,61	5302,18	591,00
445000	1172,61	5302,18	591,00
450000	1171,61	5302,18	587,85
455000	1171,61	5302,18	587,85
460000	1171,61	5302,18	587,85
465000	1171,61	5302,18	587,55
470000	1171,58	5302,18	587,55
475000	1171,46	5302,18	585,97
480000	1170,88	5302,18	585,97
485000	1170,88	5302,18	585,97
490000	1170,70	5302,18	585,97
495000	1170,70	5302,18	585,97
500000	1166,84	5302,18	585,97
505000	1166,84	5302,18	585,97
510000	1166,84	5302,18	585,97
515000	1166,84	5302,18	585,97
520000	1166,84	5302,18	585,97
525000	1166,84	5302,18	585,97
530000	1166,84	5302,18	585,97
535000	1165,85	5302,18	584,93
540000	1165,85	5302,18	584,93
545000	1160,33	5302,18	581,78
550000	1159,10	5302,18	581,78
555000	1146,43	5298,23	574,35
560000	1146,43	5292,63	574,35
565000	1146,43	5292,63	574,35
570000	1145,20	5287,60	574,35
