Executando em modo automático:
  Instância: 4
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: C104.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 67128196239365
2026-05-22 13:00:11.353 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-22 13:00:11.376 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 1394,40, Tempo: 5467,74, Comb: 705,15
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 5000] Best: Dist=1359,03, Time=5441,45, Fuel=686,17 | Unique solutions: 1597
[Eval 10000] Best: Dist=1327,62, Time=5418,64, Fuel=670,65 | Unique solutions: 4045
[Eval 15000] Best: Dist=1321,38, Time=5410,54, Fuel=668,40 | Unique solutions: 6346
[Eval 20000] Best: Dist=1314,05, Time=5368,31, Fuel=661,80 | Unique solutions: 9059
[Eval 25000] Best: Dist=1275,33, Time=5366,40, Fuel=642,67 | Unique solutions: 11371
[Eval 30000] Best: Dist=1271,46, Time=5351,13, Fuel=641,17 | Unique solutions: 13705
[Eval 35000] Best: Dist=1253,57, Time=5351,13, Fuel=632,32 | Unique solutions: 15837
[Eval 40000] Best: Dist=1250,17, Time=5341,58, Fuel=631,13 | Unique solutions: 18572
[Eval 45000] Best: Dist=1240,85, Time=5337,16, Fuel=624,97 | Unique solutions: 21269
[Eval 50000] Best: Dist=1240,85, Time=5337,16, Fuel=623,70 | Unique solutions: 23982
[Eval 55000] Best: Dist=1240,85, Time=5336,58, Fuel=622,65 | Unique solutions: 23982
[Eval 60000] Best: Dist=1240,67, Time=5336,58, Fuel=622,50 | Unique solutions: 23982
[Eval 65000] Best: Dist=1240,31, Time=5336,58, Fuel=622,50 | Unique solutions: 23982
[Eval 70000] Best: Dist=1238,60, Time=5334,78, Fuel=619,35 | Unique solutions: 23982
[Eval 75000] Best: Dist=1238,03, Time=5334,78, Fuel=619,35 | Unique solutions: 23982
