Subpopulacao\Geracao	gFinal
NSGA3_DistanciaMin	1144,68
NSGA3_TempoMin	5237,27
NSGA3_CombustivelMin	573,37
NSGA3_DistanciaMedia	1178,53
NSGA3_TempoMedio	5289,21
NSGA3_CombustivelMedio	591,90
NSGA3_FitnessPonderadoMin	7026,29
NSGA3_FitnessPonderadoMedio	7062,13
NSGA3_TamanhoFrente	54
TempoExecucao(ms)	491535
Parametros	Pop=600; Geracoes=3000; Pc=1,00; Pm=0,01

=== DIAGNOSTICO ===
Solucoes criadas: 596
Total avaliacoes: 1788596
Solucoes unicas: 24206

=== HISTORICO DE EVOLUCAO ===
Eval	BestDist	BestTime	BestFuel
5000	1360,09	5453,28	686,17
10000	1331,30	5435,34	672,00
15000	1323,28	5417,69	668,92
20000	1301,34	5382,10	656,62
25000	1282,33	5363,18	647,40
30000	1271,31	5356,10	642,37
35000	1265,98	5350,63	639,68
40000	1255,14	5345,87	633,53
45000	1239,96	5331,77	622,95
50000	1237,16	5330,68	621,45
55000	1236,09	5323,67	621,30
60000	1235,84	5323,67	621,30
65000	1235,84	5323,02	621,30
70000	1235,84	5320,32	621,30
75000	1235,84	5319,06	620,10
80000	1235,84	5319,06	620,10
85000	1235,84	5319,06	620,10
90000	1235,28	5319,06	620,10
95000	1235,28	5319,06	620,10
100000	1234,54	5317,97	620,10
105000	1234,54	5317,97	620,10
110000	1234,54	5317,97	620,10
115000	1234,54	5317,97	620,10
120000	1234,54	5316,93	620,10
125000	1233,77	5316,93	618,60
130000	1232,77	5316,93	618,22
135000	1231,46	5316,93	618,22
140000	1231,46	5316,93	617,40
145000	1213,73	5316,93	609,90
150000	1204,84	5316,93	605,55
155000	1204,84	5316,93	605,55
160000	1204,84	5316,93	605,55
165000	1204,84	5316,93	605,55
170000	1204,84	5316,93	605,55
175000	1204,84	5316,93	605,55
180000	1204,84	5316,93	605,55
185000	1204,84	5316,93	605,55
190000	1204,84	5316,93	605,55
195000	1204,84	5316,93	605,55
200000	1204,84	5316,93	605,55
205000	1204,84	5316,93	605,55
210000	1204,84	5316,93	605,55
