Executando em modo automático:
  Instância: 48
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: RC108.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 171940637970662
2026-05-23 18:45:25.526 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-23 18:45:25.554 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 1717,78, Tempo: 1426,94, Comb: 873,30
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 5000] Best: Dist=1638,76, Time=1387,43, Fuel=833,70 | Unique solutions: 2367
[Eval 10000] Best: Dist=1638,76, Time=1387,43, Fuel=833,70 | Unique solutions: 4237
[Eval 15000] Best: Dist=1632,40, Time=1384,25, Fuel=828,15 | Unique solutions: 7416
[Eval 20000] Best: Dist=1618,08, Time=1383,26, Fuel=820,65 | Unique solutions: 11467
[Eval 25000] Best: Dist=1616,80, Time=1380,25, Fuel=820,65 | Unique solutions: 14798
[Eval 30000] Best: Dist=1592,07, Time=1374,85, Fuel=808,80 | Unique solutions: 17387
[Eval 35000] Best: Dist=1592,07, Time=1374,85, Fuel=808,80 | Unique solutions: 20803
[Eval 40000] Best: Dist=1592,07, Time=1371,26, Fuel=808,80 | Unique solutions: 24086
[Eval 45000] Best: Dist=1591,52, Time=1370,90, Fuel=808,72 | Unique solutions: 28013
[Eval 50000] Best: Dist=1588,53, Time=1370,88, Fuel=804,45 | Unique solutions: 32111
[Eval 55000] Best: Dist=1583,17, Time=1367,41, Fuel=801,30 | Unique solutions: 32111
[Eval 60000] Best: Dist=1581,48, Time=1365,62, Fuel=801,30 | Unique solutions: 32111
[Eval 65000] Best: Dist=1574,08, Time=1365,62, Fuel=794,70 | Unique solutions: 32111
[Eval 70000] Best: Dist=1573,93, Time=1361,15, Fuel=794,70 | Unique solutions: 32111
[Eval 75000] Best: Dist=1560,38, Time=1361,15, Fuel=789,68 | Unique solutions: 32111
[Eval 80000] Best: Dist=1560,38, Time=1359,39, Fuel=789,68 | Unique solutions: 32111
[Eval 85000] Best: Dist=1557,62, Time=1357,21, Fuel=789,00 | Unique solutions: 32111
[Eval 90000] Best: Dist=1548,63, Time=1357,21, Fuel=784,72 | Unique solutions: 32111
[Eval 95000] Best: Dist=1548,16, Time=1342,13, Fuel=784,72 | Unique solutions: 32111
[Eval 100000] Best: Dist=1544,62, Time=1342,13, Fuel=780,97 | Unique solutions: 32111
[Eval 105000] Best: Dist=1544,62, Time=1342,13, Fuel=780,97 | Unique solutions: 32111
[Eval 110000] Best: Dist=1538,25, Time=1342,13, Fuel=776,62 | Unique solutions: 32111
[Eval 115000] Best: Dist=1538,25, Time=1340,28, Fuel=776,62 | Unique solutions: 32111
[Eval 120000] Best: Dist=1538,25, Time=1340,28, Fuel=776,62 | Unique solutions: 32111
[Eval 125000] Best: Dist=1538,25, Time=1340,28, Fuel=776,62 | Unique solutions: 32111
[Eval 130000] Best: Dist=1534,72, Time=1338,25, Fuel=772,27 | Unique solutions: 32111
[Eval 135000] Best: Dist=1534,72, Time=1338,25, Fuel=772,27 | Unique solutions: 32111
[Eval 140000] Best: Dist=1534,72, Time=1338,01, Fuel=772,27 | Unique solutions: 32111
[Eval 145000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
[Eval 150000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
[Eval 155000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
[Eval 160000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
[Eval 165000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
[Eval 170000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
[Eval 175000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
[Eval 180000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
[Eval 185000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
[Eval 190000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
[Eval 195000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
[Eval 200000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
[Eval 205000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
[Eval 210000] Best: Dist=1534,72, Time=1336,18, Fuel=772,27 | Unique solutions: 32111
