Subpopulacao\Geracao	gFinal
NSGA3_DistanciaMin	1800,29
NSGA3_TempoMin	1611,05
NSGA3_CombustivelMin	914,03
NSGA3_DistanciaMedia	1811,18
NSGA3_TempoMedio	1612,92
NSGA3_CombustivelMedio	920,73
NSGA3_FitnessPonderadoMin	4310,79
NSGA3_FitnessPonderadoMedio	4326,59
NSGA3_TamanhoFrente	3
TempoExecucao(ms)	477255
Parametros	Pop=600; Geracoes=3000; Pc=1,00; Pm=0,01

=== DIAGNOSTICO ===
Solucoes criadas: 596
Total avaliacoes: 1788596
Solucoes unicas: 40619

=== HISTORICO DE EVOLUCAO ===
Eval	BestDist	BestTime	BestFuel
5000	2091,52	1848,30	1065,23
10000	2079,41	1835,38	1059,08
15000	2045,45	1818,86	1044,30
20000	2040,25	1814,92	1039,80
25000	2030,14	1803,55	1033,95
30000	2017,94	1794,39	1027,35
35000	1996,18	1782,43	1019,18
40000	1992,14	1777,51	1008,60
45000	1978,33	1765,93	1008,60
50000	1946,96	1763,49	990,75
55000	1946,96	1740,45	990,75
60000	1930,34	1740,45	983,55
65000	1930,34	1740,45	983,55
70000	1919,24	1716,30	978,97
75000	1908,11	1716,30	972,45
80000	1897,01	1705,18	967,88
85000	1890,99	1705,18	964,80
90000	1890,99	1705,18	964,80
95000	1890,99	1683,31	964,80
100000	1890,99	1683,31	964,80
105000	1890,99	1683,31	964,80
110000	1889,94	1676,68	963,22
115000	1888,53	1676,68	963,22
120000	1887,48	1676,68	963,22
125000	1887,48	1676,68	963,22
130000	1887,48	1676,68	963,22
135000	1887,48	1675,18	962,70
140000	1887,48	1675,18	962,70
145000	1882,30	1675,18	959,10
150000	1882,30	1675,18	959,10
155000	1882,30	1675,18	959,10
160000	1882,30	1675,18	959,10
165000	1882,30	1673,69	959,10
170000	1882,30	1673,69	959,10
175000	1881,12	1673,69	959,10
180000	1871,21	1673,69	955,57
185000	1871,21	1673,69	955,57
190000	1871,21	1672,53	955,57
195000	1871,21	1672,53	955,57
200000	1871,21	1672,53	955,57
205000	1871,21	1672,53	955,57
210000	1871,21	1672,53	955,57
215000	1871,21	1670,05	955,57
220000	1871,21	1670,05	955,57
225000	1871,21	1663,43	955,57
230000	1867,06	1663,43	952,20
235000	1861,64	1663,43	948,82
240000	1861,64	1661,93	948,82
245000	1861,64	1661,93	948,82
250000	1861,64	1661,93	948,82
255000	1860,71	1660,82	946,35
260000	1860,71	1634,39	946,35
265000	1856,66	1634,39	946,35
270000	1845,31	1634,39	938,63
275000	1845,31	1634,39	938,63
280000	1845,31	1634,39	938,63
285000	1845,31	1634,39	938,63
290000	1845,31	1634,39	938,63
295000	1845,31	1634,39	938,63
300000	1845,31	1634,39	938,63
305000	1845,31	1634,39	938,63
310000	1845,31	1634,39	938,63
315000	1845,31	1634,39	938,63
320000	1845,31	1629,98	938,63
325000	1845,31	1629,98	938,63
330000	1845,31	1629,98	938,63
335000	1845,31	1629,98	937,13
340000	1844,31	1629,98	937,13
345000	1844,31	1629,98	937,13
350000	1844,31	1629,98	937,13
355000	1844,31	1629,80	937,13
360000	1838,27	1626,88	935,55
365000	1838,27	1626,88	935,55
370000	1838,27	1626,88	935,55
375000	1838,27	1626,88	935,55
380000	1836,82	1625,32	935,55
385000	1836,82	1625,32	935,55
390000	1835,82	1624,82	934,05
395000	1835,82	1624,82	934,05
400000	1835,82	1624,82	934,05
405000	1835,82	1624,82	934,05
