Executando em modo automático:
  Instância: 45
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: RC105.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 154353637608861
2026-05-23 13:52:01.631 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-23 13:52:01.656 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 2172,10, Tempo: 1884,90, Comb: 1107,00
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 5000] Best: Dist=2085,43, Time=1840,50, Fuel=1062,15 | Unique solutions: 2221
[Eval 10000] Best: Dist=2055,24, Time=1834,85, Fuel=1046,10 | Unique solutions: 5386
[Eval 15000] Best: Dist=2051,93, Time=1812,84, Fuel=1043,03 | Unique solutions: 9658
[Eval 20000] Best: Dist=2009,60, Time=1805,07, Fuel=1020,60 | Unique solutions: 14069
[Eval 25000] Best: Dist=1991,76, Time=1805,07, Fuel=1010,63 | Unique solutions: 18530
[Eval 30000] Best: Dist=1991,76, Time=1787,07, Fuel=1010,63 | Unique solutions: 23085
[Eval 35000] Best: Dist=1980,70, Time=1771,75, Fuel=1003,72 | Unique solutions: 27649
[Eval 40000] Best: Dist=1957,15, Time=1769,62, Fuel=996,98 | Unique solutions: 32139
[Eval 45000] Best: Dist=1930,44, Time=1755,40, Fuel=981,00 | Unique solutions: 36582
[Eval 50000] Best: Dist=1929,77, Time=1754,75, Fuel=981,00 | Unique solutions: 41085
[Eval 55000] Best: Dist=1912,60, Time=1751,46, Fuel=971,03 | Unique solutions: 41085
[Eval 60000] Best: Dist=1912,60, Time=1751,46, Fuel=971,03 | Unique solutions: 41085
[Eval 65000] Best: Dist=1911,74, Time=1746,64, Fuel=971,03 | Unique solutions: 41085
[Eval 70000] Best: Dist=1890,99, Time=1719,05, Fuel=964,80 | Unique solutions: 41085
[Eval 75000] Best: Dist=1890,99, Time=1719,05, Fuel=964,80 | Unique solutions: 41085
[Eval 80000] Best: Dist=1889,94, Time=1719,05, Fuel=963,22 | Unique solutions: 41085
[Eval 85000] Best: Dist=1889,50, Time=1707,03, Fuel=963,22 | Unique solutions: 41085
[Eval 90000] Best: Dist=1889,50, Time=1707,03, Fuel=963,22 | Unique solutions: 41085
[Eval 95000] Best: Dist=1875,58, Time=1707,03, Fuel=955,58 | Unique solutions: 41085
[Eval 100000] Best: Dist=1875,58, Time=1707,01, Fuel=955,58 | Unique solutions: 41085
[Eval 105000] Best: Dist=1875,58, Time=1691,04, Fuel=955,58 | Unique solutions: 41085
[Eval 110000] Best: Dist=1875,58, Time=1691,04, Fuel=955,58 | Unique solutions: 41085
[Eval 115000] Best: Dist=1875,58, Time=1691,01, Fuel=955,58 | Unique solutions: 41085
[Eval 120000] Best: Dist=1875,58, Time=1687,04, Fuel=955,58 | Unique solutions: 41085
[Eval 125000] Best: Dist=1875,58, Time=1686,64, Fuel=955,58 | Unique solutions: 41085
[Eval 130000] Best: Dist=1875,58, Time=1686,64, Fuel=955,58 | Unique solutions: 41085
[Eval 135000] Best: Dist=1875,58, Time=1685,07, Fuel=955,58 | Unique solutions: 41085
[Eval 140000] Best: Dist=1875,58, Time=1685,07, Fuel=955,58 | Unique solutions: 41085
[Eval 145000] Best: Dist=1875,58, Time=1678,84, Fuel=955,58 | Unique solutions: 41085
