Executando em modo automático:
  Instância: 46
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: RC106.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 163738034049134
2026-05-23 16:08:55.872 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-23 16:08:55.899 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 2064,44, Tempo: 1670,87, Comb: 1046,03
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 5000] Best: Dist=2046,95, Time=1653,09, Fuel=1033,80 | Unique solutions: 2463
[Eval 10000] Best: Dist=2039,63, Time=1652,75, Fuel=1033,80 | Unique solutions: 4549
[Eval 15000] Best: Dist=2024,56, Time=1652,75, Fuel=1024,95 | Unique solutions: 6739
[Eval 20000] Best: Dist=2018,35, Time=1650,07, Fuel=1017,90 | Unique solutions: 9333
[Eval 25000] Best: Dist=1981,84, Time=1638,62, Fuel=996,68 | Unique solutions: 12442
[Eval 30000] Best: Dist=1981,84, Time=1638,62, Fuel=996,68 | Unique solutions: 16028
[Eval 35000] Best: Dist=1981,84, Time=1638,62, Fuel=996,68 | Unique solutions: 19906
[Eval 40000] Best: Dist=1981,84, Time=1635,23, Fuel=996,68 | Unique solutions: 24117
[Eval 45000] Best: Dist=1981,84, Time=1635,23, Fuel=996,68 | Unique solutions: 28601
[Eval 50000] Best: Dist=1981,84, Time=1630,67, Fuel=996,68 | Unique solutions: 33196
[Eval 55000] Best: Dist=1981,84, Time=1630,43, Fuel=996,68 | Unique solutions: 33196
[Eval 60000] Best: Dist=1959,64, Time=1625,78, Fuel=991,72 | Unique solutions: 33196
[Eval 65000] Best: Dist=1959,64, Time=1625,78, Fuel=991,72 | Unique solutions: 33196
[Eval 70000] Best: Dist=1959,64, Time=1620,52, Fuel=991,72 | Unique solutions: 33196
[Eval 75000] Best: Dist=1951,94, Time=1619,08, Fuel=987,15 | Unique solutions: 33196
